municipio,nombre_estacion,latitud,longitud,parametro
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID,6.208978,-75.577962,DViento
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID,6.208978,-75.577962,NOx
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID,6.208978,-75.577962,P
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID,6.208978,-75.577962,VViento
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID,6.208978,-75.577962,PLiquida
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID,6.208978,-75.577962,NO
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID,6.208978,-75.577962,TAire?h
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID,6.208978,-75.577962,HAire2
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S),6.211806,-75.581111,NOx
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S),6.211806,-75.581111,DViento
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S),6.211806,-75.581111,CO
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S),6.211806,-75.581111,RGlobal
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S),6.211806,-75.581111,TAire10
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S),6.211806,-75.581111,PLiquida
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S),6.211806,-75.581111,VViento
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S),6.211806,-75.581111,PM10
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S),6.211806,-75.581111,P
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S),6.211806,-75.581111,NO2
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S),6.211806,-75.581111,HAire10
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S),6.211806,-75.581111,NO
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S),6.211806,-75.581111,PM2.5
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S),6.211806,-75.581111,PST
MEDELLÍN,P_AGUINAGA (AST),6.2531,-75.568636,CO
MEDELLÍN,P_AGUINAGA (S),6.2531,-75.568636,PM10
MEDELLÍN,P_AGUINAGA (S),6.2531,-75.568636,PST
MEDELLÍN,P_AGUINAGA (S),6.2531,-75.568636,NO2
MEDELLÍN,P_AGUINAGA (S),6.2531,-75.568636,SO2
MEDELLÍN,P_EST-Secretaria,6.252719,-75.569683,VViento
MEDELLÍN,P_EST-Secretaria,6.252719,-75.569683,NOx
MEDELLÍN,P_EST-Secretaria,6.252719,-75.569683,TAire10
MEDELLÍN,P_EST-Secretaria,6.252719,-75.569683,CO
