Fecha,DViento,HAire10,O3,P,PLiquida,PM2.5,TMPR_AIR_10CM,VViento
2024-08-31,196.58351907,71.06779861,59.86378446,20.50535417,0.00375,23.38890833,20.50535417,1.00707935
2024-09-01,193.20685757,85.19702213,46.94765999,18.38011005,0.43,10.31472348,18.38011005,0.66054442
2024-09-02,192.5062491,81.085375,48.37006864,19.9050625,0.07458333,19.73343167,19.9050625,0.75937868
2024-09-03,194.11968246,81.72455556,41.45421972,20.32380556,0.16291667,19.41296917,20.32380556,0.68064005
2024-09-04,172.3050297,74.11252083,50.12764254,21.9175625,0.03666667,18.30588,21.9175625,0.63958702
2024-09-05,201.82029805,74.47555556,39.81926725,21.16344444,0.22708333,10.69837417,21.16344444,0.73114947
2024-09-06,180.77813304,69.67075,53.18500364,21.74754167,0.0,18.5674319,21.74754167,0.9961589
2024-09-07,178.20248156,72.87386806,48.59896199,20.77079167,0.05,12.67110288,20.77079167,0.98294119
2024-09-08,191.9639469,68.99474306,44.07831842,20.98575,0.0,14.96289438,20.98575,1.3144871
2024-09-09,205.01332817,60.7366875,52.59642076,21.97700695,0.0,9.43800667,21.97700695,1.04133601
2024-09-10,169.96148462,68.253625,44.80587227,21.00221528,0.0,15.47798458,21.00221528,1.0561561
2024-09-11,162.93564949,66.81311111,45.45985326,22.08695139,0.0,15.43099083,22.08695139,1.09065721
2024-09-12,169.23393129,71.09296528,29.68304285,21.90782639,0.06541667,14.9025275,21.90782639,0.89532122
2024-09-13,215.34556672,74.30630556,32.56007832,20.59085417,0.12458333,10.29675783,20.59085417,1.00236212
2024-09-14,139.41948857,74.38566667,47.89593243,21.27425695,0.0,17.38733136,21.27425695,0.86399487
2024-09-15,179.33414705,68.16781803,39.76204392,22.92277472,0.0,11.6986625,22.92277472,0.93688563
2024-09-16,173.1738704,72.21472917,46.40812568,22.06085417,0.06041667,14.41401167,22.06085417,0.71852579
2024-09-17,164.76182429,72.56004861,36.49213899,20.94295833,0.17958333,11.06038542,20.94295833,0.81442563
2024-09-18,147.42339483,64.90678472,53.80628559,22.23121528,0.0,15.50729667,22.23121528,0.91568005
2024-09-19,166.08848567,70.44029861,43.39981315,22.04311111,0.0,20.09808333,22.04311111,0.94110062
2024-09-20,194.18378638,75.41622917,42.66799421,20.53461111,0.01791667,16.12757692,20.53461111,0.74520364
2024-09-21,160.0000334,79.92379167,39.89568351,19.73800694,0.07708333,13.67869042,19.73800694,0.77722302
2024-09-22,174.8855419,87.44536063,26.45353086,18.748875,0.13125,10.04864292,18.748875,0.62364747
2024-09-23,164.15431096,80.55347917,32.46198117,19.43151389,0.01541667,11.114846,19.43151389,0.69303263
2024-09-24,199.02272874,73.10338889,48.83531925,21.23177778,0.09458333,10.712965,21.23177778,0.91694291
2024-09-25,173.64841475,81.27068056,35.62561419,19.88828472,0.04833333,10.050327,19.88828472,0.83131676
2024-09-26,212.31453791,81.88951389,41.52452268,18.63079861,0.07375,13.66963191,18.63079861,0.78523698
2024-09-27,171.95543138,88.66057639,26.14734885,17.94346528,0.22666667,14.49856063,17.94346528,0.77044696
2024-09-28,161.61075644,87.12270139,25.4517509,17.82630556,0.11041667,12.44191917,17.82630556,0.69460934
2024-09-29,165.12374578,89.16763194,33.52470027,17.06665278,0.18458333,6.85759063,17.06665278,0.80334097
2024-09-30,169.77119876,89.58034783,30.29418283,17.5387029,0.24608696,12.05651143,17.5387029,0.91023688
2024-10-01,,,,,,,,
2024-10-02,,,,,,,,
2024-10-03,,,,,,,,
2024-10-04,,,,,,,,
2024-10-05,,,,,,,,
2024-10-06,,,,,,,,
2024-10-07,,,,,,,,
2024-10-08,,,,,,,,
2024-10-09,,,,,,,,
2024-10-10,,,,,,,,
2024-10-11,,,,,,,,
2024-10-12,,,,,,,,
2024-10-13,,,,,,,,
2024-10-14,,,,,,,,
2024-10-15,,,,,,,,
2024-10-16,,,,,,,,
2024-10-17,,,,,,,,
2024-10-18,,,,,,,,
2024-10-19,,,,,,,,
2024-10-20,,,,,,,,
2024-10-21,,,,,,,,
2024-10-22,,,,,,,,
2024-10-23,,,,,,,,
2024-10-24,,,,,,,,
2024-10-25,,,,,,,,
2024-10-26,,,,,,,,
2024-10-27,,,,,,,,
2024-10-28,,,,,,,,
2024-10-29,,,,,,,,
2024-10-30,,,,,,,,
2024-10-31,,,,,,,,
2024-11-01,155.25121017,86.69746528,9.31105428,18.3163125,0.10125,8.93333333,18.3163125,0.54424696
2024-11-02,185.5834908,75.47493056,18.80195333,19.74171528,0.00041667,2.69688988,19.74171528,0.92663048
2024-11-03,181.18641346,77.9914375,18.62210856,19.63247917,0.09833333,2.56819758,19.63247917,0.76670266
2024-11-04,163.62402893,89.1245,14.36305739,17.98974306,0.16125,3.70037627,17.98974306,0.69689219
2024-11-05,172.58974356,79.95474306,9.01403792,19.04496528,0.01583333,6.95617708,19.04496528,0.98742225
2024-11-06,168.23828587,77.64529861,22.31496858,20.18814583,0.0,8.99876479,20.18814583,0.88402296
2024-11-07,175.16689745,86.48565278,19.06354573,18.64072917,0.29416667,12.0308987,18.64072917,0.79506464
