Fecha,DViento,HAire10,HAire2,NO,NO2,NOx,O3,P,PLiquida,PM2.5,RGlobal,TAire10,TAire2,TMPR_AIR_10CM,VViento
2019-01-28,116.27662958,72.5811625,,30.79761717,36.66378994,,11.45284201,21.47960417,0.02916667,22.29166667,65.18734438,,,21.47960417,0.98426391
2019-01-29,179.95034417,62.24169583,,26.54430276,28.87348881,,24.73683078,22.50356667,0.0,19.83333333,201.30612078,,,22.50356667,1.4284992
2019-01-30,118.13208554,62.27548333,,,,,27.68301512,22.33059167,0.0,21.375,194.22688536,,,22.33059167,1.83812442
2019-01-31,78.988855,66.32795833,,9.0381336,27.85310819,,31.74423704,22.48167917,0.0,22.0,176.97016422,,,22.48167917,2.06104967
2019-02-01,189.89786375,72.3659125,,31.37157738,39.02076544,,30.62265965,21.7465125,0.425,27.54166667,151.54763604,,,21.7465125,0.84431661
2019-02-02,139.454225,64.96737917,,21.45333126,28.05373039,,25.61153035,22.77497917,0.00416667,25.04166667,187.82299845,,,22.77497917,1.45797271
2019-02-03,77.94493292,62.05974167,,13.30743993,23.38785551,,27.54894902,22.9302875,0.0,21.04166667,199.48229207,,,22.9302875,1.58199175
2019-02-04,170.73985789,70.75806842,,15.13382564,30.49516033,,27.85141522,21.87783684,0.0,27.9,79.19150413,,,21.87783684,1.48054578
2019-02-05,70.05683542,66.34920833,,18.82304864,32.14224526,,26.85409422,23.10212917,0.0,31.33333333,152.68873559,,,23.10212917,1.73568713
2019-02-06,132.23259583,66.08967917,,20.39893392,29.33697722,,24.87580174,22.907,0.0,31.66666667,100.33141036,,,22.907,1.78948142
2019-02-07,89.10050958,66.0874375,,12.26834786,30.91783997,,29.25001043,22.9367875,0.0,35.54166667,158.37040152,,,22.9367875,1.76855271
2019-02-08,105.03295306,65.7961875,,17.50474291,33.87011426,,29.1705246,22.666225,0.0,36.59090909,102.23963532,,,22.666225,1.4824868
2019-02-09,65.47289667,62.80713333,,14.79845381,36.21167386,,31.62815541,22.30011667,0.0,31.95833333,142.367005,,,22.30011667,1.90552625
2019-02-10,52.68507338,67.5105,,6.52538826,25.94689016,,37.17064426,22.25579583,0.01666667,25.41666667,146.01313583,,,22.25579583,1.61656063
2019-02-11,53.96824292,63.40319167,,13.82070545,31.33064739,,31.76712637,23.80775833,0.00416667,28.66666667,113.93187286,,,23.80775833,1.81414763
2019-02-12,91.73081367,66.05574167,,12.38444813,33.32562603,,39.78656821,23.51845417,0.00833333,37.75,141.04021017,,,23.51845417,1.31576796
2019-02-13,43.20943083,63.29879167,,22.08619802,35.70329843,,30.14034867,24.512525,0.0,37.125,140.38875275,,,24.512525,1.80816046
