Fecha,PM10
2017-02-21,48.1
2017-02-22,
2017-02-23,
2017-02-24,41.7
2017-02-25,
2017-02-26,
2017-02-27,57.8
2017-02-28,
2017-03-01,
2017-03-02,65.2
2017-03-03,
2017-03-04,
2017-03-05,45.3
2017-03-06,
2017-03-07,
2017-03-08,64.9
2017-03-09,
2017-03-10,
2017-03-11,66.1
2017-03-12,
2017-03-13,
2017-03-14,41.7
2017-03-15,
2017-03-16,
2017-03-17,56.2
2017-03-18,
2017-03-19,
2017-03-20,39.9
2017-03-21,
2017-03-22,
2017-03-23,50.2
2017-03-24,
2017-03-25,
2017-03-26,30.3
2017-03-27,
2017-03-28,
2017-03-29,61.1
2017-03-30,
2017-03-31,
2017-04-01,37.1
2017-04-02,
2017-04-03,
2017-04-04,48.4
2017-04-05,
2017-04-06,
2017-04-07,84.3
2017-04-08,
2017-04-09,44.6
2017-04-10,
2017-04-11,44.3
2017-04-12,
2017-04-13,
2017-04-14,
2017-04-15,31.3
2017-04-16,
2017-04-17,
2017-04-18,
2017-04-19,40.7
2017-04-20,
2017-04-21,
2017-04-22,45.7
2017-04-23,
2017-04-24,
2017-04-25,
2017-04-26,
2017-04-27,
2017-04-28,42.3
2017-04-29,
2017-04-30,
2017-05-01,31.6
2017-05-02,
2017-05-03,
2017-05-04,49.8
2017-05-05,
2017-05-06,
2017-05-07,37.8
2017-05-08,
2017-05-09,
2017-05-10,51.4
2017-05-11,
2017-05-12,
2017-05-13,72.2
2017-05-14,
2017-05-15,
2017-05-16,39.3
2017-05-17,
2017-05-18,
2017-05-19,38.1
2017-05-20,
2017-05-21,
2017-05-22,46.8
2017-05-23,
2017-05-24,
2017-05-25,38.6
2017-05-26,
2017-05-27,
2017-05-28,11.9
2017-05-29,
2017-05-30,
2017-05-31,48.8
2017-06-01,
2017-06-02,
2017-06-03,40.0
2017-06-04,
2017-06-05,
2017-06-06,51.4
2017-06-07,
2017-06-08,
2017-06-09,60.6
2017-06-10,
2017-06-11,
2017-06-12,28.9
2017-06-13,
2017-06-14,
2017-06-15,
2017-06-16,
2017-06-17,
2017-06-18,31.1
2017-06-19,
2017-06-20,
2017-06-21,35.0
2017-06-22,
2017-06-23,41.0
2017-06-24,
2017-06-25,
2017-06-26,
2017-06-27,34.7
2017-06-28,
2017-06-29,
2017-06-30,41.3
2017-07-01,
2017-07-02,
2017-07-03,29.4
2017-07-04,
2017-07-05,
2017-07-06,42.1
2017-07-07,
2017-07-08,
2017-07-09,24.4
2017-07-10,
2017-07-11,
2017-07-12,57.3
2017-07-13,
2017-07-14,
2017-07-15,
2017-07-16,
2017-07-17,
2017-07-18,50.0
2017-07-19,
2017-07-20,
2017-07-21,
2017-07-22,
2017-07-23,
2017-07-24,45.0
2017-07-25,
2017-07-26,
2017-07-27,53.4
2017-07-28,
2017-07-29,
2017-07-30,37.3
2017-07-31,
2017-08-01,
2017-08-02,48.7
2017-08-03,
2017-08-04,
2017-08-05,47.9
2017-08-06,
2017-08-07,
2017-08-08,40.3
2017-08-09,
2017-08-10,
2017-08-11,39.8
2017-08-12,
2017-08-13,
2017-08-14,43.3
2017-08-15,
2017-08-16,
2017-08-17,48.2
2017-08-18,
2017-08-19,
2017-08-20,29.0
2017-08-21,
2017-08-22,
2017-08-23,53.3
2017-08-24,
2017-08-25,
2017-08-26,40.1
2017-08-27,
2017-08-28,
2017-08-29,33.5
2017-08-30,
2017-08-31,
2017-09-01,37.7
2017-09-02,
2017-09-03,
2017-09-04,45.9
2017-09-05,
2017-09-06,
2017-09-07,37.5
2017-09-08,
2017-09-09,
2017-09-10,25.7
2017-09-11,
2017-09-12,
2017-09-13,52.4
2017-09-14,
2017-09-15,
2017-09-16,36.4
2017-09-17,
2017-09-18,
2017-09-19,50.1
2017-09-20,
