Fecha,DViento,HAire10,NO,NO2,P,PLiquida,PM10,PM2.5,VViento
2019-06-06,235.125,84.10640883,64.70615133,40.4836756,20.34319801,0.0,53.78135,33.73913043,2.3
2019-06-07,160.75,69.14729861,87.22253367,20.75111243,21.82606945,0.0,47.7825,24.30434783,2.11208333
2019-06-08,235.79166667,68.76468056,53.52942098,32.7560306,21.98372222,0.0,71.69207083,32.625,1.40416667
2019-06-09,221.45833333,74.55788889,30.08569494,22.82837519,21.26641667,0.08791667,,21.08333333,1.36875
2019-06-10,200.41666667,77.77095139,37.76935704,33.38083208,20.4448125,0.00083333,42.99383478,29.625,1.49958333
2019-06-11,222.91666667,76.90457639,47.63340361,32.01796506,22.29129167,0.0,64.89273913,31.45833333,1.27333333
2019-06-12,221.04166667,79.60040278,44.58589794,29.72191522,22.05386806,0.04333333,58.945675,31.45833333,1.51375
2019-06-13,,,61.44063839,40.59020462,,,,35.52173913,
2019-06-14,,,48.45887098,34.38240098,,,,28.80952381,
2019-06-15,,,,,,,,24.33333333,
2019-06-16,,,,,,,,16.375,
2019-06-17,,,,,,,,23.75,
2019-06-18,,,,,,,,24.16666667,
2019-06-19,,,,,,,,25.875,
2019-06-20,,,,,,,,40.13333333,
2019-06-21,,,,,,,,16.14285714,
2019-06-22,,,,,,,,23.70833333,
2019-06-23,,,,,,,,18.79166667,
2019-06-24,,,,,,,,18.04347826,
2019-06-25,,,,,,,,,
2019-06-26,,,,,,,,28.875,
2019-06-27,,,29.36084372,45.82225883,,,,30.04166667,
2019-06-28,,,45.0724214,32.77869752,,,,26.7826087,
2019-06-29,,,55.79703781,25.27842373,,,,32.5,
2019-06-30,,,19.41379609,18.54373232,,,,16.33333333,
2019-07-01,195.75,80.6221875,14.7010367,13.72565297,20.59876389,0.03333333,36.91262222,17.04347826,1.62791667
2019-07-02,164.625,77.94525694,32.45722915,23.94725748,21.61597222,0.08416667,75.80082174,28.0,1.27375
2019-07-03,134.16666667,78.037,47.25687877,26.52776028,21.95733333,0.02125,68.45295652,28.91666667,1.16541667
2019-07-04,,,28.73553037,19.6604678,,0.0,,31.91666667,
2019-07-05,170.29166667,72.15260417,27.75965748,25.84714946,23.88897222,0.00416667,55.945,27.625,1.44041667
2019-07-06,179.47619048,88.74463458,31.85777378,20.74869138,18.95138104,0.25125,36.7520719,23.83333333,1.45571429
2019-07-07,234.54166667,65.59690972,22.31770313,14.05659153,22.08139583,0.0,32.58592917,16.04166667,1.62083333
2019-07-08,162.95833333,62.29845833,40.04041819,30.16813931,22.66842361,0.0,51.48062727,33.95833333,1.83541667
2019-07-09,177.83333333,66.15041667,24.94311566,19.25970495,23.06786806,0.0,,23.625,1.99916667
2019-07-10,192.75,73.7460625,17.02802466,19.52547702,21.44034722,0.07625,49.48278333,24.08333333,1.4725
2019-07-11,192.04545455,77.97018006,19.47957552,20.06099764,22.20251918,0.0,58.24824167,22.45833333,1.49272727
2019-07-12,230.91666667,88.32227083,33.16017681,27.00577988,18.69436111,0.11291667,51.07165,31.45833333,2.13125
2019-07-13,,,43.4616023,34.49394775,,,,22.16666667,
2019-07-14,,,19.23625502,18.78006216,,,,18.5,
2019-07-15,,,32.93712458,30.12718529,,,,25.41666667,
2019-07-16,,,41.45733823,29.87362609,,,,25.54166667,
2019-07-17,,,40.98726984,32.41639509,,,,25.29166667,
2019-07-18,,,42.21198234,29.56149958,,,,26.45833333,
2019-07-19,,,38.53056273,26.02351735,,,,23.625,
2019-07-20,,,29.55076187,20.90719527,,,,21.16666667,
2019-07-21,,,21.69015149,17.3584633,,,,18.70833333,
2019-07-22,,,41.40000609,30.94482402,,,,30.0,
2019-07-23,,,54.73586205,28.46257438,,,,24.25,
2019-07-24,,,50.12175168,14.27774337,,,,31.95833333,
2019-07-25,,,,,,,,,
2019-07-26,,,45.19390834,13.19841063,,,,26.56521739,
2019-07-27,,,31.84477325,8.18914281,,,,22.95833333,
2019-07-28,,,23.45570312,7.15123546,,,,20.58333333,
2019-07-29,,,35.75953519,16.5324802,,,,34.5,
2019-07-30,,,28.13310083,15.40986056,,,,23.79166667,
2019-07-31,,,28.15203366,20.15046542,,,,25.375,
2019-08-01,179.95833333,78.65866667,39.2135068,17.26832506,20.11488194,0.10666667,53.7266381,32.83333333,1.28416667
2019-08-02,166.0,76.81813889,33.66649839,17.80531419,21.43182639,0.03125,79.16201905,28.66666667,1.64875
2019-08-03,131.20833333,75.95341161,42.34611165,23.81263495,22.1629468,0.01833333,64.78456087,27.91304348,1.34
2019-08-04,,,31.66343525,17.98663386,,0.0,,25.16666667,
2019-08-05,185.66666667,88.54385668,32.8642521,30.86637909,20.10951675,0.19458333,51.61492174,32.91666667,1.31291667
2019-08-06,197.875,81.7201875,42.72906011,34.87960658,20.83427083,0.08,53.23911739,48.08333333,1.74125
2019-08-07,227.79166667,73.02138194,19.21259446,23.78746864,21.52783333,0.00208333,60.79347826,40.0,1.72375
2019-08-08,143.66666667,62.58526389,19.86994921,24.34614195,23.23780555,0.00208333,45.88426667,27.75,2.13
2019-08-09,195.79166667,60.60240278,41.19344037,30.95667329,22.77714583,0.0,,29.72727273,2.22958333
2019-08-10,181.16666667,81.64779861,27.65383396,21.62357328,20.39092361,0.06041667,54.94748333,28.04166667,1.59083333
2019-08-11,216.54166667,85.16301389,15.80981244,14.34034717,21.10615278,0.16375,57.95551304,23.5,1.4875
2019-08-12,212.41666667,80.90421528,29.09222648,22.62848056,19.658625,0.0,37.37261739,33.625,1.50041667
2019-08-13,,,17.09077814,19.96344871,,,,26.875,
2019-08-14,,,32.31991428,23.07040755,,,,32.375,
2019-08-15,,,31.27032756,28.74755901,,,,46.5,
2019-08-16,,,38.40700146,48.64502263,,,,70.125,
2019-08-17,,,22.49974635,30.11915432,,,,40.70833333,
2019-08-18,,,12.41761175,20.15065615,,,,29.41666667,
2019-08-19,,,12.8836223,15.9963634,,,,25.5,
2019-08-20,,,71.70098827,26.91025635,,,,34.91666667,
