Fecha,DViento,HAire10,O3,P,PLiquida,RGlobal,TAire10,TMPR_AIR_10CM,VViento
2020-12-15,216.5,80.44905556,,20.69176389,0.13041667,,,20.69176389,1.17791667
2020-12-16,167.79166667,76.10693056,27.72376316,21.40548611,0.0,,,21.40548611,1.21625
2020-12-17,223.375,78.69654861,15.99800986,21.03245139,0.00208333,,,21.03245139,1.10916667
2020-12-18,203.33333333,81.21711111,11.24847295,20.57906944,0.02666667,,,20.57906944,0.98541667
2020-12-19,215.625,75.61873611,21.55684824,21.12354167,0.00041667,,,21.12354167,1.18
2020-12-20,199.0,79.76691667,14.83719361,20.45520833,0.00333333,,,20.45520833,1.13791667
2020-12-21,203.91666667,74.53956944,18.13162282,22.00502778,0.005,,,22.00502778,1.08375
2020-12-22,175.91304348,80.39241926,14.42028073,20.81027228,0.16625,,,20.81027228,1.16217391
2020-12-23,138.375,74.20508818,16.13698082,22.08570801,0.0,,,22.08570801,1.2575
2020-12-24,222.36363636,79.59210497,25.77502559,20.64792116,0.39916667,,,20.64792116,1.25454545
2020-12-25,228.125,88.10049553,19.38236146,19.01947769,0.95916667,,,19.01947769,0.77375
2020-12-26,200.0,82.9888359,14.19138739,19.45318925,0.01583333,,,19.45318925,1.346
2020-12-27,,87.75906883,11.07680294,18.91928681,0.14375,,,18.91928681,
2020-12-28,194.0,74.1643393,22.38249923,20.91147921,0.00083333,,,20.91147921,1.36
2020-12-29,,74.16589966,24.60603458,20.54764974,0.0,,,20.54764974,
2020-12-30,217.44444444,78.8149513,22.79941211,20.27082003,0.02333333,,,20.27082003,0.91222222
2020-12-31,204.92857143,72.89007874,26.72329802,21.32092206,0.0,,,21.32092206,1.38357143
2021-01-01,216.38461538,76.53777858,18.84282714,20.22074731,0.0,,,20.22074731,0.95153846
2021-01-02,183.0,81.38248623,18.64663285,20.57701984,0.12791667,,,20.57701984,1.40461538
2021-01-03,230.5,76.80605097,19.94642006,21.50327494,0.00583333,,,21.50327494,1.36166667
2021-01-04,192.58823529,70.54129299,25.15374365,21.14335436,0.0,,,21.14335436,1.25764706
2021-01-05,198.83333333,68.87220833,26.08566656,21.22743056,0.0,,,21.22743056,1.24166667
2021-01-06,179.75,75.65192361,25.26001557,19.72044444,0.20375,,,19.72044444,1.23458333
2021-01-07,234.5,76.35717361,17.36319517,20.6535625,0.00041667,,,20.6535625,1.11041667
2021-01-08,176.125,80.57366667,16.11245653,19.92873611,0.02958333,,,19.92873611,1.16208333
2021-01-09,174.66666667,76.70468056,21.51597442,20.54088889,0.02208333,,,20.54088889,1.17666667
2021-01-10,154.70833333,74.47203472,25.07199603,21.48484028,0.07708333,,,21.48484028,1.36458333
2021-01-11,193.04166667,81.03677083,19.48863337,20.68723611,0.35875,,,20.68723611,1.12375
2021-01-12,168.79166667,72.23743056,18.09074901,22.231125,0.00083333,,,22.231125,1.295
2021-01-13,181.58333333,71.67530556,24.385316,22.50977778,0.0,,,22.50977778,1.13583333
2021-01-14,163.04166667,73.48672917,28.04760952,22.5518125,0.02208333,,,22.5518125,1.39875
2021-01-15,235.29166667,72.25435417,21.3034306,22.18413889,0.00041667,,,22.18413889,1.30166667
2021-01-16,196.125,71.41575,27.54077425,21.55143055,0.00083333,,,21.55143055,1.43291667
2021-01-17,187.04166667,68.54338889,26.76417183,21.50515278,0.0,,,21.50515278,1.17791667
2021-01-18,170.25,70.84472917,20.21618722,21.76858333,0.0,,,21.76858333,1.22666667
2021-01-19,227.08333333,67.82432639,20.98461487,21.65078472,0.00041667,,,21.65078472,1.28333333
2021-01-20,173.20833333,70.70941667,20.55952723,21.17665972,0.0,,,21.17665972,1.46875
2021-01-21,161.0,71.83793056,23.14275212,22.04813889,0.00083333,,,22.04813889,1.28208333
2021-01-22,182.20833333,70.84746528,27.79419189,22.33484722,0.00083333,,,22.33484722,1.43916667
2021-01-23,188.08333333,74.5099375,24.87580174,21.5181875,0.0325,,,21.5181875,1.01583333
2021-01-24,164.77272727,73.0262231,21.05001297,22.20742391,0.09333333,,,22.20742391,1.42454545
2021-01-25,149.79166667,68.70319444,19.51315766,22.92979167,0.00041667,,,22.92979167,1.23125
2021-01-26,219.25,74.0601875,17.19152516,21.48172917,0.0025,,,21.48172917,1.24375
2021-01-27,172.04166667,71.79464583,20.91104201,22.08417361,0.0025,,,22.08417361,1.20375
2021-01-28,151.70833333,71.58424306,22.7585383,22.12941667,0.00041667,,,22.12941667,1.53791667
2021-01-29,171.70833333,66.15009028,24.65508315,21.83723611,0.0,,,21.83723611,1.28958333
2021-01-30,156.75,63.29617361,28.55444478,22.8800625,0.00041667,,,22.8800625,1.455
2021-01-31,186.16666667,63.02954167,27.00123994,22.95122222,0.0,,,22.95122222,1.7125
2021-02-01,163.4786058,64.386375,22.3661497,22.87151389,0.0,,,22.87151389,1.39723369
2021-02-02,161.74334787,70.96024306,26.67424945,22.752125,0.075,,,22.752125,1.12071358
2021-02-03,153.11123019,71.02140972,20.27341055,22.73096528,0.01583333,,,22.73096528,0.89893706
2021-02-04,151.59770085,65.57929861,20.3061096,23.41105556,0.00166667,,,23.41105556,1.38246383
2021-02-05,175.15466918,69.99430556,21.81026587,22.8365,0.00541667,,,22.8365,0.91662033
2021-02-06,203.24658172,71.08061806,30.23844582,22.40196528,0.01708333,,,22.40196528,0.96632318
2021-02-07,189.60734847,70.80208333,23.19997546,22.83704861,0.00083333,,,22.83704861,1.12772421
2021-02-08,197.92951701,72.74661111,18.29511807,22.40527778,0.00625,,,22.40527778,1.08002779
2021-02-09,193.29318819,77.75563194,20.58405152,21.55738194,0.0775,,,21.55738194,0.98767869
2021-02-10,189.97834281,74.06844444,27.72879379,20.87777083,0.06083333,,,20.87777083,1.1621772
