Fecha,CO,DViento,HAire10,HAire2,O3,P,PLiquida,PM10,PM2.5,RGlobal,TAire10,TAire2,VViento
2012-09-10,,,,61.66666667,54.82537418,,0.14583333,34.65217391,18.63636364,199.56666667,,19.98333333,
2012-09-11,,,,62.225,49.95010689,,0.02083333,35.58333333,23.70833333,180.775,,20.7375,
2012-09-12,,,,62.41666667,52.17391302,,0.02083333,46.65217391,26.60869565,192.84166667,,20.80416667,
2012-09-13,,,,59.36666667,53.4568781,,0.0,39.30434783,26.56521739,,,20.47916667,
2012-09-14,,,,50.125,71.67498215,,0.0,55.375,33.83333333,,,20.94166667,
2012-09-15,,,,51.12916667,58.6742694,,0.0,38.95833333,26.16666667,,,20.78333333,
2012-09-16,,,,53.63333333,49.95010689,,0.0,41.54166667,26.04166667,,,20.97083333,
2012-09-17,,,,66.79166667,42.47391951,,0.0,46.47826087,29.56521739,,,19.04166667,
2012-09-18,,,,70.80833333,43.44975052,,0.04166667,51.125,31.66666667,,,19.1125,
2012-09-19,,,,66.9875,56.79258729,,0.0,44.54545455,27.54545455,,,20.575,
2012-09-20,,,,70.13333333,47.38417675,,0.0,46.5,31.75,,,19.90833333,
2012-09-21,,,,68.8125,55.1674982,,0.375,45.52380952,29.80952381,,,19.89583333,
2012-09-22,,,,74.5375,40.96935137,,0.10416667,39.9047619,29.52380952,,,19.07083333,
2012-09-23,,,,66.80416667,54.22665714,,0.0,30.64705882,22.94736842,,,20.34583333,
2012-09-24,,,,80.80416667,31.1332858,,0.58333333,38.75,29.25,,,17.12916667,
2012-09-25,,,,74.2625,39.85744831,,0.02083333,48.7,35.04761905,,,18.15833333,
2012-09-26,,,,68.325,43.1076265,,0.0,34.6,25.63157895,,,19.84583333,
2012-09-27,,,,70.0,47.98289378,,0.10416667,32.0,23.61904762,,,20.1125,
2012-09-28,,,,69.24166667,35.49536706,,0.0,46.19047619,35.0,,,19.79166667,
2012-09-29,,,,64.3,51.23307197,,0.0,39.40909091,31.43478261,,,21.10833333,
2012-09-30,,,,58.0875,53.71347111,,0.0,22.84210526,18.52380952,,,21.52083333,
2012-10-01,,,,,50.37776192,,0.0,33.05,22.7826087,,,20.39166667,
2012-10-02,,,,,53.02922307,,0.54166667,38.38888889,27.43478261,,,19.23333333,
2012-10-03,,,,,54.31218815,,0.0,31.18181818,21.5,,,21.30833333,
2012-10-04,,,,,43.02209549,,0.14583333,38.45,26.375,,,19.10416667,
2012-10-05,,,,,39.42979328,,0.02083333,52.125,35.91666667,,,18.74166667,
2012-10-06,,,,,37.80470419,,0.52083333,46.45833333,35.95454545,,,18.25416667,
2012-10-07,,,,,43.44975052,,0.1875,32.76190476,,214.26666667,,18.82916667,
