Fecha,DViento,HAire10,HAire2,NO,NO2,NOx,P,PLiquida,PM2.5,RGlobal,SO2,TAire10,TAire2,VViento
2012-10-03,,,,8.79166667,7.41666667,,,,,220.91666667,,,23.3525,
2012-10-04,,,,15.875,14.58333333,,,,,171.91666667,,,21.37958333,
2012-10-05,,,,19.5,21.95833333,,,,,156.75,,,20.80708333,
2012-10-06,,,,14.16666667,17.29166667,,,,,96.75,,,20.29416667,
2012-10-07,,,,6.20833333,5.41666667,,,,,,,,20.68791667,
2012-10-08,,,,23.79166667,11.70833333,,,,,,,,19.975,
2012-10-09,,,,28.08333333,10.70833333,,,,,,,,22.29375,
2012-10-10,,,,10.45833333,8.95833333,,,,,,,,21.99541667,
2012-10-11,,,,21.35294118,10.05882353,,,,,,,,20.77375,
2012-10-12,,,,,,,,,,,,,20.64958333,
2012-10-13,,,,,,,,,,,,,19.95041667,
2012-10-14,,,,,,,,,,,,,20.19208333,
2012-10-15,,,,,,,,,,,,,19.90541667,
2012-10-16,,,,,,,,,,,,,19.35375,
2012-10-17,,,,,,,,,,,,,20.14458333,
2012-10-18,,,,,,,,,,,,,18.92708333,
2012-10-19,,,,,,,,,,,,,19.95625,
2012-10-20,,,,,,,,,,,,,20.85916667,
2012-10-21,,,,,,,,,,,,,20.78916667,
2012-10-22,,,,15.71428571,5.14285714,,,,,,,,22.542,
2012-10-23,,,,23.79166667,5.875,,,,,,,,21.7175,
2012-10-24,,,,14.66666667,8.54166667,,,,,,,,21.23541667,
2012-10-25,,,,13.33333333,9.20833333,,,,,,,,21.36208333,
2012-10-26,,,,10.0,10.79166667,,,,,,,,20.98458333,
2012-10-27,,,,6.83333333,4.0,,,,,,,,22.30166667,
2012-10-28,,,,10.375,5.95833333,,,,,,,,22.65791667,
2012-10-29,,,,11.58333333,12.33333333,,,,,,,,22.08791667,
2012-10-30,,,,19.54166667,19.125,,,,,,,,19.915,
2012-10-31,,,,2.0,7.0,,,,,,,,17.325,
2012-11-01,,,64.65625,18.8125,15.0,,,,,,,,22.17375,
2012-11-02,,,71.30833333,18.29166667,10.75,,,,,,,,21.43958333,
2012-11-03,,,63.94166667,10.0,8.75,,,,,,,,22.35583333,
2012-11-04,,,66.96666667,7.375,2.83333333,,,,,,,,22.31916667,
2012-11-05,,,72.9125,12.16666667,2.29166667,,,,,,,,20.76833333,
2012-11-06,,,68.1125,28.29166667,11.125,,,,,,,,21.43958333,
2012-11-07,,,67.19166667,15.08333333,6.66666667,,,,,,,,21.93416667,
2012-11-08,,,65.59583333,18.5,5.41666667,,,,,,,,22.18666667,
2012-11-09,,,66.92105263,8.88888889,7.94444444,,,,,,,,22.84578947,
2012-11-10,,,69.8125,10.5,8.125,,,,,,,,21.89666667,
2012-11-11,,,72.13333333,6.08333333,2.91666667,,,,,,,,21.32666667,
2012-11-12,,,71.6875,8.375,5.20833333,,,,,,,,20.92125,
2012-11-13,,,76.75833333,18.0,11.58333333,,,,,,,,20.50125,
2012-11-14,,,75.7875,30.16666667,16.79166667,,,,,,,,20.78666667,
2012-11-15,,,74.01666667,23.625,13.08333333,,,,,,,,20.56291667,
