Fecha,DViento,HAire10,P,PLiquida,PM2.5,VViento
2019-07-23,82.65217391,91.33972306,13.443882,1.08375,4.525,3.53565217
2019-07-24,80.125,86.69372068,13.62675,0.00041667,4.39565217,2.87625
2019-07-25,81.45833333,76.40150905,14.03736111,0.02125,8.025,3.20875
2019-07-26,90.5,80.45323611,13.98770139,0.0175,5.05,3.28958333
2019-07-27,74.04166667,83.92848611,14.34078472,0.03208333,8.75833333,4.40791667
2019-07-28,71.91666667,83.56198296,14.36322917,0.0,6.49130435,3.7175
2019-07-29,77.625,80.74852632,14.70470833,0.0,6.56956522,3.38291667
2019-07-30,78.625,85.21949206,14.30595139,0.0325,8.24545455,3.78708333
2019-07-31,80.40909091,74.45910883,14.44124967,0.0,8.3875,3.63045455
2019-08-01,83.27272727,85.9686329,14.10421815,0.0,11.17916667,3.09318182
2019-08-02,97.7826087,89.30050498,14.49521312,0.59958333,7.8625,2.77478261
2019-08-03,77.73913043,90.68131714,14.14774608,0.03916667,6.57826087,2.98869565
2019-08-04,75.7,86.67231446,14.46282265,0.0,6.2173913,3.8395
2019-08-05,87.16666667,81.47619209,14.67000351,0.0,12.73,3.83125
2019-08-06,99.13043478,74.94333862,14.96071723,0.0,22.85416667,3.10695652
2019-08-07,86.38888889,80.27863624,14.25313492,0.0,22.42916667,2.90444444
2019-08-08,76.625,79.77380336,14.10808117,0.0,11.28333333,4.44458333
2019-08-09,85.54166667,75.63139458,14.765494,0.0,10.22083333,3.77666667
2019-08-10,83.8,81.69898422,14.14807132,0.0,10.60909091,3.94866667
2019-08-11,79.31578947,79.93369176,15.3651321,0.0,7.875,3.92894737
2019-08-12,90.25,76.10757213,15.52899714,0.0,9.96666667,3.71875
2019-08-13,85.72727273,89.15699361,14.57195896,0.0025,11.72727273,3.60272727
2019-08-14,79.85714286,85.1044844,14.55431693,0.0,11.50869565,3.89
2019-08-15,150.33333333,73.51602079,14.14226072,0.0,23.51666667,2.47809524
2019-08-16,104.25,91.63063358,12.27281191,0.2125,33.35,1.77541667
2019-08-17,129.625,89.82548644,13.16699682,0.0025,22.675,2.04458333
2019-08-18,76.58333333,83.91282007,14.70927875,0.08583333,12.55833333,3.34291667
2019-08-19,84.83333333,72.71291475,14.6620421,0.03375,11.27916667,3.51333333
2019-08-20,77.29166667,77.98441369,13.97745268,0.0,11.75833333,3.84416667
2019-08-21,85.16666667,75.09376534,14.38040172,0.0,10.32916667,3.94875
2019-08-22,81.91666667,81.21118168,13.88409055,0.0,12.83636364,4.05625
2019-08-23,87.16666667,84.82005322,13.98336064,0.0,14.32083333,3.54458333
2019-08-24,89.29166667,76.77556326,14.69896234,0.0,13.75416667,3.89083333
2019-08-25,83.20833333,70.77733647,14.34442338,0.0,12.25833333,4.39166667
2019-08-26,82.56521739,77.72420752,14.35328207,0.0,9.29583333,3.93695652
2019-08-27,87.82608696,75.44841501,15.0108397,0.0,9.48333333,3.7326087
2019-08-28,111.08333333,82.73822377,13.73697575,0.0,12.72083333,2.62625
2019-08-29,87.08333333,74.85271184,14.70918267,0.0,11.7,3.85625
2019-08-30,67.375,78.21413163,14.51261005,0.0,14.29583333,4.19208333
2019-08-31,77.20833333,80.43455795,14.47433675,0.03583333,10.40833333,3.92916667
2019-09-01,80.33333333,83.46424018,14.38465972,0.04958333,7.33333333,3.65166667
2019-09-02,88.25,78.88257964,14.23704861,0.01,7.55,3.505
2019-09-03,86.25,67.03779621,15.55921528,0.0,8.87916667,4.20666667
2019-09-04,90.25,76.63132686,15.2125625,0.06,7.9826087,3.18625
2019-09-05,81.875,80.71488657,14.45155556,0.02625,6.625,3.84541667
2019-09-06,105.16666667,84.8411864,14.19488195,0.21416667,9.06956522,2.81458333
2019-09-07,76.125,85.83456983,14.61420833,0.00041667,8.76666667,4.32625
2019-09-08,89.125,77.18016292,14.42477778,0.0,11.62173913,3.34291667
2019-09-09,83.125,79.26023832,14.52196528,0.0,9.22916667,3.91333333
2019-09-10,74.79166667,80.37842561,15.02523611,0.00541667,9.58333333,4.00458333
2019-09-11,90.125,81.91375664,15.22719445,0.05583333,8.65833333,3.47833333
2019-09-12,100.125,86.12661457,15.10338194,0.14166667,9.45217391,3.50958333
2019-09-13,93.41666667,85.3902298,14.34586111,0.58083333,6.34090909,4.09583333
2019-09-14,87.375,82.35447917,14.63077613,0.00375,6.07916667,3.69875
2019-09-15,85.29166667,72.522583,14.84127083,0.00333333,8.25833333,3.12125
2019-09-16,81.04166667,85.59642121,13.98265972,0.4475,5.45652174,3.28333333
2019-09-17,101.33333333,89.07350317,13.98127778,0.09375,6.05652174,2.3575
2019-09-18,153.83333333,98.63208857,12.56400695,0.66583333,5.79130435,2.05958333
2019-09-19,228.29166667,93.77787923,12.89777778,0.32708333,4.92727273,2.83958333
2019-09-20,163.79166667,97.04902741,12.99878472,0.56166667,8.69565217,1.5575
2019-09-21,122.16666667,88.10131746,13.36001389,0.01833333,7.72173913,2.56958333
2019-09-22,88.0,84.88701818,14.41014583,0.11166667,6.21304348,2.66375
2019-09-23,173.29166667,90.91398563,13.20563889,0.43875,4.23,1.79958333
2019-09-24,99.75,89.65419405,13.82543056,0.04541667,7.77083333,2.36625
2019-09-25,171.54166667,91.94676199,13.41039583,0.43375,8.47272727,2.04708333
2019-09-26,174.29166667,94.21340709,12.92030556,0.52458333,7.31818182,2.11708333
2019-09-27,79.625,79.81849472,14.12045139,0.0,8.80833333,3.61291667
2019-09-28,97.95833333,87.3569378,14.49647366,0.1075,6.685,3.23708333
2019-09-29,78.875,89.62100267,13.77886111,0.0,6.34583333,2.42708333
2019-09-30,212.41666667,95.719594,13.05609028,0.59541667,8.59090909,1.79875
2019-10-01,190.33333333,87.1764864,13.67054167,0.14916667,4.68571429,2.62583333
2019-10-02,84.66666667,89.02503351,13.80736111,0.08708333,6.14545455,2.60541667
2019-10-03,81.83333333,89.72477812,12.35740984,0.20166667,4.07,2.9325
2019-10-04,82.79166667,78.32706667,14.16956944,0.0,5.15909091,3.28666667
2019-10-05,88.83333333,86.61479309,13.98304861,0.01125,7.3,2.28625
2019-10-06,91.79166667,89.46609429,13.7399946,0.0,3.8,2.83708333
2019-10-07,84.58333333,84.03134592,13.73402778,0.25375,4.295,3.36791667
2019-10-08,94.0,88.80137831,13.54364993,0.02458333,5.03333333,2.725
2019-10-09,143.95833333,82.96232346,14.08559051,0.0,8.03913043,2.56791667
2019-10-10,135.59090909,93.06973129,13.64497403,0.00791667,12.03333333,1.49409091
2019-10-11,176.28571429,97.69779471,12.95042798,0.11916667,12.4,2.39428571
2019-10-12,86.72222222,87.28819393,13.96805586,0.20791667,7.83478261,2.57722222
2019-10-13,97.55555556,85.85298,13.82752487,0.19208333,7.06956522,2.17722222
2019-10-14,86.36363636,88.4478319,13.06988031,0.20583333,5.91304348,3.47909091
2019-10-15,82.71428571,86.70610377,13.66974649,0.01125,6.59166667,3.23904762
2019-10-16,123.04761905,85.93841885,13.50926,0.00333333,6.54166667,2.4147619
2019-10-17,121.04761905,89.27970565,13.61567466,0.06,9.11,1.63333333
2019-10-18,119.63636364,88.84976061,13.27740135,0.46291667,6.75,2.39772727
2019-10-19,154.81818182,90.80626064,12.64176099,0.065,6.30952381,2.45272727
