Fecha,CO,NO,NO2,NOx,PM10
2009-12-18,0.7100388,,,,102.52951217
2009-12-19,0.94362157,,,,86.44282046
2009-12-20,0.91829456,,,,53.33333492
2009-12-21,0.71733825,,,,77.010587
2009-12-22,0.87135091,,,,66.75047536
2009-12-23,1.69108671,,,,
2009-12-24,1.71448923,,,,
2009-12-25,1.40160766,,,,
2009-12-26,1.41305453,,,,
2009-12-27,,,,,
2009-12-28,1.11161986,,,,
2009-12-29,0.49566838,,,,61.67684613
2009-12-30,0.55402932,,,,61.37159458
2009-12-31,0.6410257,,,,62.97261117
2010-01-01,0.39682543,,,,67.3850255
2010-01-02,0.34449677,,,,50.51238613
2010-01-03,0.3169907,,,,48.30706326
2010-01-04,0.3128816,,,,95.21776307
2010-01-05,0.33577537,,,,64.31751652
2010-01-06,0.2747253,,,,61.75181335
2010-01-07,,,,,67.41314321
2010-01-08,0.51282054,,,,69.73113872
2010-01-09,0.48161717,,,,53.68569081
2010-01-10,0.47415549,,,,47.15771008
2010-01-11,0.30016283,,,,86.73761581
2010-01-12,0.5189255,,,,62.0601585
2010-01-13,0.35103788,,,,63.76833795
2010-01-14,0.32403495,,,,75.78445742
2010-01-15,0.42124543,,,,185.798097
2010-01-16,0.3785104,,,,
2010-01-17,0.41326195,,,,54.55104233
2010-01-18,0.4802605,,,,70.46685627
2010-01-19,0.44261297,,,,72.36698441
2010-01-20,0.33397976,,,,76.29833371
2010-01-21,0.29870924,,,,79.00488758
2010-01-22,0.45177046,,,,115.61457375
2010-01-23,0.5799756,,,,70.518929
2010-01-24,0.41971918,,,,51.29833479
2010-01-25,0.67833403,,,,88.19292096
2010-01-26,0.78983519,,,,76.14571058
2010-01-27,0.63040827,,,,70.42735417
2010-01-28,0.6343898,,,,67.31379929
2010-01-29,0.65846855,,,,83.93976771
2010-01-30,0.74508826,,,,79.91046417
2010-01-31,0.51494401,,,,57.55596529
2010-02-01,0.4380342,,,,69.399677
2010-02-02,0.42735043,,,,62.3260083
2010-02-03,0.47466424,,,,75.54538333
2010-02-04,0.52037911,,,,77.936512
2010-02-05,0.55741363,,,,155.87708902
2010-02-06,0.4700855,,,,106.4163688
2010-02-07,0.37851041,,,,139.32235718
2010-02-08,0.64368003,,,,139.37322696
2010-02-09,0.58318877,,,,105.02239005
2010-02-10,0.63288566,,,,174.33455769
2010-02-11,0.52308804,,,,78.71998771
2010-02-12,0.43171115,,,,96.30240504
2010-02-13,0.34798533,,,,77.45828332
2010-02-14,0.5494506,,,,79.42171558
2010-02-15,0.44770046,,,,116.49980164
2010-02-16,0.48331302,,,,98.0932072
2010-02-17,0.47822551,,,,89.5767223
2010-02-18,0.460928,,,,
2010-02-19,0.60668501,,,,
2010-02-20,0.6346663,,,,93.88075145
2010-02-21,0.52025271,,,,97.24868107
2010-02-22,0.83180706,,,,144.27757819
2010-02-23,0.64865691,,,,83.78714315
2010-02-24,0.52846463,,,,127.99756225
2010-02-25,0.68681323,,,,70.73260427
2010-02-26,0.66600072,,,,130.78551658
2010-02-27,0.60690946,,,,72.79813115
2010-02-28,0.49019609,,,,54.16768686
2010-03-01,0.43116608,,,,198.18522445
2010-03-02,0.47313799,,,,84.29944785
2010-03-03,0.48197418,,,,154.70185123
2010-03-04,0.53557555,,,,56.14444526
2010-03-05,0.54623742,,,,54.25328092
2010-03-06,0.52910055,,,,46.9775808
2010-03-07,0.60439562,,,,36.52172438
2010-03-08,0.68681323,,,,58.56564538
2010-03-09,0.80527938,,,,58.48311178
2010-03-10,0.58262995,,,,59.74098225
2010-03-11,0.49309666,,,,52.79393291
2010-03-12,0.41971918,,,,56.09258842
2010-03-13,0.48076924,,,,61.99227031
2010-03-14,0.41971918,,,,47.56935644
2010-03-15,0.35321821,,,,68.23173519
2010-03-16,,,,,80.73579895
2010-03-17,0.65000362,,,,90.72649783
2010-03-18,0.73514452,,,,109.8249925
2010-03-19,0.5639863,,,,51.91900913
2010-03-20,0.46505785,,,,53.97436245
2010-03-21,0.4319292,,,,37.34811854
2010-03-22,0.40954418,,,,38.84824705
2010-03-23,0.3706611,,,,105.24120553
2010-03-24,0.42735045,,,,80.51078828
2010-03-25,0.30864198,,,,92.5405565
2010-03-26,0.44566545,,,,75.90542133
2010-03-27,0.56119098,,,,73.54084333
2010-03-28,0.61050065,,,,57.55880117
2010-03-29,0.53418806,,,,86.5782059
2010-03-30,0.62767096,,,,50.68783402
2010-03-31,0.66391945,,,,55.84656445
2010-04-01,0.76439766,,,,42.49695055
2010-04-02,0.74150389,,,,36.79894394
2010-04-03,1.02767598,,,,48.56479442
2010-04-04,1.03384711,,,,82.21001609
2010-04-05,1.14214476,,,,76.66463455
2010-04-06,1.04802593,,,,81.94546596
2010-04-07,0.71507429,,,,108.21148888
2010-04-08,0.88904152,,,,94.20635462
2010-04-09,0.80280832,,,,59.21245723
2010-04-10,0.82556333,,,,66.7282753
2010-04-11,0.88938839,,,,49.07925649
2010-04-12,1.0531135,,,,52.8811252
2010-04-13,0.64518817,,,,61.05086045
2010-04-14,0.79087581,,,,48.27812576
2010-04-15,0.60651911,,,,97.54287023
2010-04-16,0.68045384,,,,163.81359847
2010-04-17,0.64356942,,,,
2010-04-18,0.85470083,,,,
2010-04-19,0.9055759,,,,
2010-04-20,1.38205844,,,,142.72080127
2010-04-21,0.58830062,,,,41.34717371
2010-04-22,0.48258622,,,,51.92796417
2010-04-23,0.44858526,,,,55.30728881
2010-04-24,0.58760687,,,,48.39845546
2010-04-25,0.74481073,,,,38.36589368
2010-04-26,2.04263327,,,,87.93854523
2010-04-27,0.9666259,,,,80.3189175
2010-04-28,1.03785098,,,,90.02575153
2010-04-29,1.06710408,,,,79.24908821
2010-04-30,1.29077243,,,,68.31240491
2010-05-01,0.76821328,,,,62.74521987
2010-05-02,0.80509768,,,,57.67806474
2010-05-03,0.62715065,,,,88.26844454
2010-05-04,0.77584456,,,,76.37556203
2010-05-05,0.71097885,,,,112.92837175
2010-05-06,1.15740728,,,,138.63044802
2010-05-07,0.95772283,,,,113.65079657
2010-05-08,0.6715507,,,,99.07958817
2010-05-09,1.02912951,,,,50.16817474
2010-05-10,0.85470089,,,,51.48113847
2010-05-11,1.02424951,,,,59.9979676
2010-05-12,0.74321814,,,,80.79789956
2010-05-13,0.76439765,,,,101.6951588
2010-05-14,0.98316028,,,,60.25779692
2010-05-15,0.8318071,,,,48.95335142
2010-05-16,0.78983515,,,,42.40944159
2010-05-17,0.62067564,,,,31.50821201
2010-05-18,0.73099417,,,,62.1550707
2010-05-19,0.79619457,,,,71.04802855
2010-05-20,1.05428763,,,,193.76021517
2010-05-21,,,,,
2010-05-22,1.76810362,,,,131.71456968
2010-05-23,1.63944845,,,,39.29497425
2010-05-24,1.16249489,,,,58.57346416
2010-05-25,1.64835161,,,,92.68009822
2010-05-26,1.50462967,,,,59.84986957
2010-05-27,1.47792029,,,,64.61742226
2010-05-28,1.74930635,,,,
2010-05-29,1.23524607,,,,45.90167626
2010-05-30,1.20701048,,,,29.35421423
2010-05-31,2.70655275,,,,81.23454061
2010-06-01,1.43514144,,,,59.5733397
2010-06-02,1.39981942,,,,59.47904285
2010-06-03,4.0789075,,,,
2010-06-04,,,,,
2010-06-05,,,,,
2010-06-06,,,,,
2010-06-07,,,,,
2010-06-08,,,,,
2010-06-09,2.58523523,,,,53.76346137
2010-06-10,1.95871303,,,,102.0207634
2010-06-11,1.88237694,,,,70.00000294
2010-06-12,1.42068567,,,,84.58079322
2010-06-13,2.06171146,,,,69.81685281
2010-06-14,4.27350438,,,,73.14408112
2010-06-15,3.70116,,,,103.14001083
2010-06-16,2.71198501,,,,68.86040179
2010-06-17,1.91141962,,,,66.11315012
2010-06-18,1.52810908,,,,114.29182076
2010-06-19,3.08210663,,,,78.76068115
2010-06-20,3.3158624,,,,78.76068115
2010-06-21,2.42134795,,,,126.38990625
2010-06-22,1.99175825,,,,73.88685759
2010-06-23,1.72847983,,,,90.3093257
2010-06-24,1.81496746,,,,116.94750174
2010-06-25,2.32499,,,,
2010-06-26,2.68238713,,,,
2010-06-27,3.47985363,,,,
2010-06-28,3.79909463,,,,146.22100417
2010-06-29,1.77426749,,,,
2010-06-30,1.69668292,,,,
2010-07-01,2.32117413,,,,
2010-07-02,1.31766371,,,,84.35694361
2010-07-03,1.97140821,,,,67.52747345
2010-07-04,3.31323771,,,,67.52747345
2010-07-05,3.48494108,,,,67.52747345
2010-07-06,2.53357762,,,,105.2971131
2010-07-07,2.51282064,,,,108.99267761
2010-07-08,1.49191092,,,,179.78776393
2010-07-09,2.27538675,,,,260.03241554
2010-07-10,2.17618038,,,,137.61296082
2010-07-11,2.93676246,,,,137.61296082
2010-07-12,2.93167488,,,,203.56580998
2010-07-13,2.54375255,,,,
2010-07-14,1.72466422,,,,
2010-07-15,2.26283391,,,,91.53342305
2010-07-16,2.22323983,,,,79.4118886
2010-07-17,2.56555629,,,,58.77696721
2010-07-18,2.93930613,,,,25.03663063
2010-07-19,1.92307706,,,,
2010-07-20,2.33770853,,,,
2010-07-21,2.50559629,,,,
2010-07-22,1.59493274,,,,85.88319508
2010-07-23,1.78239636,,,,
2010-07-24,1.75010178,,,,22.35042953
2010-07-25,1.09890108,,,,22.35042953
2010-07-26,2.15074282,,,,
2010-07-27,1.45578198,,,,
2010-07-28,2.29421309,,,,
2010-07-29,2.52865346,,,,
2010-07-30,1.89517574,,,,
2010-07-31,2.71545592,,,,
2010-08-01,3.49243051,,,,
2010-08-02,3.27669097,,,,
2010-08-03,2.21974978,,,,
2010-08-04,2.65948697,,,,
2010-08-05,1.49122086,,,,
2010-08-06,1.49104718,,,,
2010-08-07,1.01713909,,,,53.95401184
2010-08-08,1.33702946,,,,45.06105423
2010-08-09,2.22451165,,,,
2010-08-10,1.37893512,,,,
2010-08-11,1.143301,,,,64.89762761
2010-08-12,1.01622905,,,,57.02686691
2010-08-13,2.05789587,,,,57.02686691
2010-08-14,1.34437323,,,,57.02686691
2010-08-15,0.89921653,,,,57.02686691
2010-08-16,1.81751123,,,,57.02686691
2010-08-17,2.00447706,,,,57.02686691
2010-08-18,2.21560846,,,,
2010-08-19,1.63690483,,,,
2010-08-20,2.53888622,,,,
2010-08-21,1.51353281,,,,
2010-08-22,1.69795482,,,,
2010-08-23,1.32275132,,,,
2010-08-24,1.12561049,,,,82.02686596
2010-08-25,1.63181733,,,,68.33130109
2010-08-26,1.30494479,,,,108.46154467
2010-08-27,1.37489828,,,,105.77534024
2010-08-28,1.29222625,,,,64.00068649
2010-08-29,1.4233639,,,,48.40124273
2010-08-30,1.00478216,,,,61.80912002
2010-08-31,0.78729145,,,,75.07644761
2010-09-01,0.85602806,,,,96.80098104
2010-09-02,1.39599998,,,,74.60655117
2010-09-03,1.38258675,,,,58.18399032
2010-09-04,1.0526951,,,,72.60568746
2010-09-05,1.03876094,,,,50.86510666
2010-09-06,1.03980265,,,,78.96418691
2010-09-07,1.32037811,,,,68.16425228
2010-09-08,1.13936001,,,,80.53113826
2010-09-09,1.36750389,,,,65.20157644
2010-09-10,0.87250713,,,,86.15791996
2010-09-11,1.06899917,,,,75.42975672
2010-09-12,1.11475279,,,,53.68221156
2010-09-13,1.2162539,,,,89.80278438
2010-09-14,1.26198498,,,,81.78266493
2010-09-15,1.04691305,,,,68.62637647
2010-09-16,0.96662595,,,,96.77045568
2010-09-17,1.18237363,,,,109.75376987
2010-09-18,1.44838091,,,,99.3956097
2010-09-19,1.37021522,,,,58.83272362
2010-09-20,1.5438065,,,,57.08321879
2010-09-21,1.51186147,,,,88.3353711
2010-09-22,1.35015202,,,,97.84900713
2010-09-23,1.40357467,,,,108.77696832
2010-09-24,1.52348202,,,,119.02320576
2010-09-25,1.43554504,,,,74.31420692
2010-09-26,1.36241019,,,,72.78953592
2010-09-27,1.44786014,,,,109.83348258
2010-09-28,1.47723024,,,,83.92318614
2010-09-29,1.35842096,,,,121.63707288
2010-09-30,1.49120624,,,,67.38600292
2010-10-01,1.8174236,,,,179.21192816
2010-10-02,2.19430846,,,,128.33334351
2010-10-03,1.93599282,,,,128.33334351
2010-10-04,2.70464051,,,,172.05535698
2010-10-05,2.41227113,,,,109.25519164
2010-10-06,2.82611035,,,,55.56166458
2010-10-07,2.66925818,,,,163.3353734
2010-10-08,3.0004217,,,,152.05129027
2010-10-09,1.59453731,,,,16.97802162
2010-10-10,1.66570583,,,,44.05372584
2010-10-11,1.3855834,,,,129.5224837
2010-10-12,1.25417978,,,,79.08628551
2010-10-13,1.29972347,,,,79.99186118
2010-10-14,1.470289,,,,96.66870292
2010-10-15,1.72847983,,,,102.3463618
2010-10-16,2.70019346,,,,56.29426575
2010-10-17,3.43660983,,,,56.29426575
2010-10-18,3.16824392,,,,56.29426575
2010-10-19,2.200346,,,,176.57306194
2010-10-20,1.51607663,,,,216.23525254
2010-10-21,1.19368916,,,,133.14611928
2010-10-22,1.45881718,,,,155.99919033
2010-10-23,2.45217763,,,,119.0537262
2010-10-24,2.05153658,,,,
2010-10-25,1.72593608,,,,
2010-10-26,1.32275113,,,,83.52259366
2010-10-27,1.94469882,,,,155.60944292
2010-10-28,0.70566692,,,,88.57957204
2010-10-29,1.09316487,,,,118.9723258
2010-10-30,0.80957694,,,,72.05535444
2010-10-31,1.63021032,,,,105.41921186
2010-11-01,2.32868951,,,,
2010-11-02,2.23732188,,,,
2010-11-03,1.1477424,,,,97.39112997
2010-11-04,0.8963259,,,,82.69841512
2010-11-05,1.008987,,,,68.87588435
2010-11-06,1.40768079,,,,49.21245956
2010-11-07,2.1175882,,,,49.21245956
2010-11-08,1.79099143,,,,123.37810755
2010-11-09,1.82764552,,,,152.37688621
2010-11-10,1.0203657,,,,68.64672724
2010-11-11,2.19234193,,,,109.35694408
2010-11-12,1.10657801,,,,90.44160016
2010-11-13,1.51000076,,,,64.63777033
2010-11-14,1.9859999,,,,102.56003324
2010-11-15,1.22961059,,,,56.18234094
2010-11-16,1.82810979,,,,106.7114385
2010-11-17,1.90529038,,,,112.67399041
2010-11-18,0.88904152,,,,56.50793997
2010-11-19,1.0373155,,,,99.56858412
2010-11-20,0.98064909,,,,76.18641027
2010-11-21,2.51032645,,,,82.4236908
2010-11-22,2.31855232,,,,82.4236908
2010-11-23,1.76324013,,,,135.94424502
2010-11-24,1.27666424,,,,109.96744521
2010-11-25,1.11326571,,,,81.33588999
2010-11-26,1.29590861,,,,
2010-11-27,2.24636473,,,,
2010-11-28,2.63532775,,,,
2010-11-29,2.95711246,,,,
2010-11-30,1.77553946,,,,81.36548948
2010-12-01,1.89891129,,,,146.2108291
2010-12-02,2.01973946,,,,144.66762098
2010-12-03,2.644231,,,,198.15240687
2010-12-04,1.80479258,,,,81.08058723
2010-12-05,2.36823367,,,,80.7142868
2010-12-06,2.75488408,,,,111.67684348
2010-12-07,2.6890913,,,,67.99367454
2010-12-08,3.83602216,,,,276.31869507
2010-12-09,3.71056309,,,,190.06513055
2010-12-10,3.67807169,,,,146.90273809
2010-12-11,3.11165997,,,,73.20513121
2010-12-12,3.29643697,,,,74.68050623
2010-12-13,3.97327552,,,,38.22344589
2010-12-14,3.58814181,,,,102.35476303
2010-12-15,2.82184874,,,,104.43101875
2010-12-16,2.68752768,,,,62.92674171
2010-12-17,2.72426995,,,,54.84101587
2010-12-18,2.3609401,,,,
2010-12-19,2.82284879,,,,
2010-12-20,2.58837498,,,,
2010-12-21,2.20193317,,,,72.76760642
2010-12-22,2.42863882,,,,102.74318488
2010-12-23,2.283272,,,,58.38924518
2010-12-24,2.82934877,,,,
2010-12-25,2.8902289,,,,
2010-12-26,3.53388166,,,,
2010-12-27,2.86854664,,,,
2010-12-28,2.72181277,,,,10.6288166
2010-12-29,2.60225896,,,,67.74115006
2010-12-30,2.49669329,,,,93.8197039
2010-12-31,2.31990217,,,,29.92063522
2011-01-01,2.26440218,,,,29.92063522
2011-01-02,2.2937379,,,,29.92063522
2011-01-03,2.29064908,,,,90.04477262
2011-01-04,2.68238713,,,,98.44933112
2011-01-05,2.98636554,,,,159.16361602
2011-01-06,2.5551995,,,,116.12332169
2011-01-07,2.37891747,,,,79.41188383
2011-01-08,2.67729954,,,,85.10988617
