Fecha,CO,DViento,HAire10,HAire2,O3,P,PLiquida,PM2.5,RGlobal,TAire10,TAire2,VViento
2013-02-06,,,,82.45833333,35.07377048,36.75,0.25,36.75,98.20833333,,18.15833333,
2013-02-07,,,,76.20416667,45.52459015,31.66666667,0.0,31.66666667,154.69583333,,19.49166667,
2013-02-08,,,,81.38125,39.89754097,33.625,0.09375,33.625,77.18636364,,18.9875,
2013-02-09,,,,,,,,,176.15833333,,,
2013-02-10,,,,,,,,,83.19166667,,,
2013-02-11,,,,76.00666667,43.71147539,28.5625,0.06666667,28.5625,125.9125,,18.83333333,
2013-02-12,,,,79.7875,36.40983605,30.72727273,0.14583333,30.72727273,121.60833333,,17.83333333,
2013-02-13,,,,72.3125,55.5081967,27.94736842,0.125,27.94736842,174.39166667,,18.15833333,
2013-02-14,,,,80.35416667,35.53278687,39.125,0.20833333,39.125,80.95,,17.525,
2013-02-15,,,,75.1375,40.02459015,39.47826087,0.0,39.47826087,116.91666667,,18.50416667,
2013-02-16,,,,71.47916667,17.50819671,44.34782609,0.0,44.34782609,152.2125,,19.6125,
2013-02-17,,,,84.8,11.60655737,44.5,0.10416667,44.5,70.77083333,,17.46666667,
2013-02-18,,,,69.65,14.79508196,28.66666667,0.0,28.66666667,157.72083333,,19.3125,
2013-02-19,,,,65.69583333,14.27868852,26.7826087,0.0,26.7826087,199.69166667,,20.525,
2013-02-20,,,,63.9125,13.47540983,17.95833333,0.04166667,17.95833333,143.2875,,20.29166667,
2013-02-21,,,,74.24583333,11.97540983,33.125,0.0,33.125,100.05833333,,19.48333333,
2013-02-22,,,,73.55416667,13.51639344,23.0,0.41666667,23.0,160.90416667,,19.8,
2013-02-23,,,,70.6625,14.6557377,32.95833333,0.04166667,32.95833333,190.15416667,,20.95,
2013-02-24,,,,80.03333333,12.20491803,23.66666667,0.5625,23.66666667,115.13333333,,19.26666667,
2013-02-25,,,,70.0125,16.85245901,30.16666667,0.0,30.16666667,175.0375,,20.22916667,
2013-02-26,,,,74.00416667,14.70491803,39.66666667,0.08333333,39.66666667,125.79166667,,20.35833333,
2013-02-27,,,,71.42916667,15.19672131,25.95833333,0.16666667,25.95833333,189.84166667,,20.75833333,
2013-02-28,,,,73.17916667,14.90983606,29.625,0.02083333,29.625,147.54166667,,20.59166667,
2013-03-01,,,,,5.9924804,27.5,,27.5,,,,
2013-03-02,,,,,7.46130464,22.29166667,,22.29166667,,,,
2013-03-03,,,,,6.99767759,22.625,,22.625,,,,
2013-03-04,,,,,5.73661202,29.125,,29.125,,,,
2013-03-05,,,,,8.88927595,29.41666667,,29.41666667,,,,
2013-03-06,,,,,8.59873634,27.54166667,,27.54166667,,,,
2013-03-07,,,,,7.4056694,36.625,,36.625,,,,
2013-03-08,,,,,9.47653688,35.70833333,,35.70833333,,,,
2013-03-09,,,,,10.71905737,31.79166667,,31.79166667,,,,
2013-03-10,,,,,10.30488388,27.875,,27.875,,,,
2013-03-11,,,,,9.01290983,28.75,,28.75,,,,
2013-03-12,,,,,8.71000683,26.41666667,,26.41666667,,,,
2013-03-13,,,,,8.78418716,37.70833333,,37.70833333,,,,
2013-03-14,514.28571435,,,,6.21260246,36.75,,36.75,,,,
2013-03-15,700.6211181,,,,27.16935138,33.7826087,,33.7826087,,,,
2013-03-16,604.76190484,,,,31.84190573,26.16666667,,26.16666667,,,,
2013-03-17,428.57142863,,,,35.86000682,25.79166667,,25.79166667,,,,
2013-03-18,566.66666674,,,,30.90228824,22.375,,22.375,,,,
2013-03-19,809.52380963,,,,26.1176571,27.83333333,,27.83333333,,,,
2013-03-20,747.61904771,,,,31.54518442,33.75,,33.75,,,,
2013-03-21,514.28571435,,,,14.16844262,23.0,,23.0,,,,
2013-03-22,761.904762,,,,26.72346311,35.875,,35.875,,,,
2013-03-23,595.23809531,,,,29.41249999,43.625,,43.625,,,,
2013-03-24,361.90476195,,,,41.9489754,32.45833333,,32.45833333,,,,
2013-03-25,380.952381,,,,38.19050545,33.875,,33.875,,,,
2013-03-26,380.952381,,,,36.76871584,26.375,,26.375,,,,
2013-03-27,495.2380953,,,,34.28985655,44.54166667,,44.54166667,,,,
2013-03-28,361.90476195,,,,47.289959,36.125,,36.125,,,,
2013-03-29,195.23809526,,,,42.75259562,30.875,,30.875,,,,
2013-03-30,319.04761909,,,,38.91994535,27.54166667,,27.54166667,,,,
2013-03-31,214.28571431,,,,34.71021174,21.2173913,,21.2173913,,,,
2013-04-01,424.83333333,,,,35.32366664,23.25,,23.25,,21.38684625,,
2013-04-02,658.72083333,,,,36.38196129,33.375,,33.375,,19.85848417,,
2013-04-03,443.92083333,,,,29.46510131,29.16666667,,29.16666667,,20.26355958,,
2013-04-04,410.51666667,,,,26.17312567,27.16666667,,27.16666667,,20.36944333,,
2013-04-05,601.43333333,,,,30.12984858,40.66666667,,40.66666667,,20.65445583,,
2013-04-06,553.70416667,,,,25.34683521,36.375,,36.375,,20.67826333,,
2013-04-07,386.64583333,,,,27.46032996,31.66666667,,31.66666667,,21.32857625,,
2013-04-08,525.07083333,,,,27.65583338,36.54166667,,36.54166667,,21.42643542,,
2013-04-09,591.89583333,,,,28.54468213,40.125,,40.125,,21.4907875,,
2013-04-10,582.34583333,,,,25.86028379,38.0,,38.0,,20.57997708,,
2013-04-11,658.7125,,,,29.52849525,34.66666667,,34.66666667,,19.39668542,,
2013-04-12,782.82083333,,,,23.55067675,44.33333333,,44.33333333,,20.3557,,
2013-04-13,701.675,,,,20.91190913,37.375,,37.375,,21.21947125,,
2013-04-14,587.12083333,,,,23.27262758,33.75,,33.75,,20.54090208,,
2013-04-15,531.14545455,326.9937,,,27.12998879,32.91304348,,32.91304348,,20.64170208,,
2013-04-16,,,,,25.27798654,27.45833333,,27.45833333,,20.923605,,
2013-04-17,1186.52142857,,,,16.52993608,26.79166667,,26.79166667,,19.58351167,,
2013-04-18,1069.24166667,,,,14.11747079,32.0,,32.0,,18.50254542,,
2013-04-19,1255.39166667,,,,9.61556708,44.375,,44.375,,17.02581042,,
2013-04-20,821.01666667,131.4731,,,22.16299713,20.26086957,,20.26086957,,17.41035917,,
2013-04-21,696.91666667,,,,20.64950233,14.33333333,,14.33333333,,17.6205325,,
2013-04-22,911.7125,,,,18.89460692,21.83333333,,21.83333333,,18.29726625,,
2013-04-23,687.35555556,,,,22.27739626,25.625,,25.625,,18.951615,,
2013-04-24,,,,,18.63100708,23.95833333,,23.95833333,,19.45445625,,
2013-04-25,,,,,15.31628467,23.375,,23.375,,20.05584042,,
2013-04-26,725.54,13.69399,75.87569,,17.78306033,18.375,,18.375,273.6472,19.2027,,
2013-04-27,773.27916667,,,,16.9955615,22.375,,22.375,,18.91404458,,
2013-04-28,744.65,,,,19.82172975,24.16666667,,24.16666667,,19.466655,,
2013-04-29,,125.2194,86.5593,,6.121111,19.0,,19.0,2.0,16.92917,,1.008917
2013-04-30,,,,,,,,,,,,
2013-05-01,,,,,,,,,,,,
2013-05-02,1317.43888889,,,,10.97830688,17.5625,,17.5625,,18.07447222,,
2013-05-03,1126.50416667,,,,17.37932313,31.04166667,,31.04166667,,18.84725125,,
2013-05-04,983.3125,,,,28.00141971,29.0,,29.0,,18.80328125,,
2013-05-05,606.2125,,,,21.35190971,13.66666667,,13.66666667,,17.55475708,,
2013-05-06,1073.9875,,,,17.28781883,21.83333333,,21.83333333,,18.05387167,,
2013-05-07,906.93333333,,,,14.32788758,25.29166667,,25.29166667,,17.83648125,,
2013-05-08,1112.19583333,,,,12.16711204,25.58333333,,25.58333333,,18.86579292,,
2013-05-09,851.73913043,108.3931,,,16.68814391,30.73913043,,30.73913043,,19.20281375,,
2013-05-10,935.57916667,,,,19.08968154,29.83333333,,29.83333333,,19.3352025,,
2013-05-11,840.11666667,,,,16.52152775,25.125,,25.125,,20.034965,,
2013-05-12,682.58333333,,,,18.30594425,19.33333333,,19.33333333,,20.51136083,,
2013-05-13,692.13333333,,,,15.98751804,24.125,,24.125,,19.88301542,,
2013-05-14,791.96521739,135.8809,,,12.30281858,25.47826087,,25.47826087,,20.16915458,,
2013-05-15,859.20416667,,,,8.34966392,24.25,,24.25,,17.85770333,,
2013-05-16,916.48333333,,,,10.95346088,26.875,,26.875,,18.18000167,,
2013-05-17,1307.8875,,,,13.40912638,42.25,,42.25,,17.60828167,,
2013-05-18,1193.3375,,,,15.87260971,36.33333333,,36.33333333,,19.28083958,,
2013-05-19,687.35833333,,,,16.974519,21.79166667,,21.79166667,,20.90267458,,
2013-05-20,725.55,,,,11.69830963,21.625,,21.625,,19.01271375,,
2013-05-21,896.56086957,266.7371,,,11.07226833,23.5,,23.5,,17.84485,,
2013-05-22,768.5125,,,,13.30827421,25.29166667,,25.29166667,,18.17541042,,
2013-05-23,725.54166667,143.7729,,,12.86528871,19.0,,19.0,,17.69388833,,
2013-05-24,902.14583333,,,,20.49954875,44.20833333,,44.20833333,,18.65861625,,
2013-05-25,801.92083333,,,,14.64539379,27.45833333,,27.45833333,,20.31758083,,
2013-05-26,668.275,,,,15.87652833,21.58333333,,21.58333333,,19.41888917,,
2013-05-27,1107.41666667,234.3878,,,15.38923029,32.52173913,,32.52173913,,19.33320083,,
2013-05-28,868.74583333,,,,13.10427725,23.375,,23.375,,18.86223458,,
2013-05-29,1212.42083333,,,,14.28198429,31.41666667,,31.41666667,,17.86707208,,
2013-05-30,906.92916667,,,,18.09568838,23.20833333,,23.20833333,,18.320845,,
2013-05-31,801.925,,,,10.40999538,15.33333333,,15.33333333,,17.62585542,,
2013-06-01,945.12083333,,,,18.36136656,16.52,,16.52,,17.96582208,,
2013-06-02,735.09166667,,,,19.75174167,15.91666667,,15.91666667,,20.2034725,,
2013-06-03,692.1375,,,,18.36782983,13.625,,13.625,,20.20510542,,
2013-06-04,782.825,,,,18.71128992,12.29166667,,12.29166667,,21.06683958,,
2013-06-05,1021.4875,,,,18.20015138,21.45833333,,21.45833333,,19.949415,,
2013-06-06,873.525,,,,17.71317133,23.25,,23.25,,19.64490792,,
2013-06-07,687.35652174,115.1819,,,17.70611675,18.26086957,,18.26086957,,20.34235542,,
2013-06-08,730.32916667,,,,17.25080488,16.41666667,,16.41666667,,20.52147,,
2013-06-09,544.16666667,,,,17.95136033,11.625,,11.625,,20.8816675,,
2013-06-10,596.67083333,,,,17.90035904,15.125,,15.125,,21.0785825,,
2013-06-11,854.42916667,,,,18.29572917,20.91666667,,20.91666667,,19.46590917,,
2013-06-12,806.67916667,,,,21.00189813,21.20833333,,21.20833333,,20.13760417,,
2013-06-13,663.49583333,,,,18.86776579,12.5,,12.5,,20.66799167,,
2013-06-14,1011.12608696,,,,11.34895929,25.33333333,,25.33333333,,18.7326,,
2013-06-15,1088.325,,,,15.98353546,26.54166667,,26.54166667,,18.92514458,,
2013-06-16,644.4,,,,15.02182242,11.125,,11.125,,20.40439958,,
2013-06-17,811.47083333,,,,19.13831042,19.58333333,,19.58333333,,20.22435333,,
2013-06-18,744.64583333,,,,22.83936263,19.45833333,,19.45833333,,20.2761575,,
2013-06-19,797.15,,,,16.9647925,22.33333333,,22.33333333,,20.26409167,,
2013-06-20,716.00833333,,,,17.01203625,18.54166667,,18.54166667,,20.51004667,,
2013-06-21,653.94166667,,,,18.21692154,14.58333333,,14.58333333,,21.03267917,,
2013-06-22,768.50416667,,,,16.27965275,19.58333333,,19.58333333,,20.6844625,,
2013-06-23,620.53333333,,,,21.24009275,14.30434783,,14.30434783,,21.20405708,,
2013-06-24,730.31666667,,,,22.06851275,17.95833333,,17.95833333,,18.98836667,,
2013-06-25,701.66666667,,,,18.72210004,12.70833333,,12.70833333,,19.01507625,,
2013-06-26,1007.17083333,348.1946,,,23.02316021,31.47826087,,31.47826087,,20.85475125,,
2013-06-27,983.31666667,,,,16.20883058,21.75,,21.75,,19.46497083,,
2013-06-28,940.34166667,,,,17.26966508,15.95833333,,15.95833333,,17.78903375,,
2013-06-29,1026.275,,,,16.86487217,25.20833333,,25.20833333,,18.8943575,,
2013-06-30,720.77083333,,,,19.97487921,17.41666667,,17.41666667,,18.6467825,,
2013-07-01,772.12916667,,,,19.31760992,13.375,,13.375,,17.61096542,,
2013-07-02,976.67083333,,,,18.53274225,17.33333333,,17.33333333,,19.28752833,,
2013-07-03,1242.575,,,,12.63953088,22.66666667,,22.66666667,,18.524935,,
2013-07-04,1319.27083333,,,,20.16806767,29.91666667,,29.91666667,,18.48936958,,
2013-07-05,1380.64166667,,,,16.44920704,27.58333333,,27.58333333,,17.99245375,,
2013-07-06,1043.15,,,,21.70980296,21.375,,21.375,,19.42152125,,
2013-07-07,884.62083333,,,,17.89887721,12.83333333,,12.83333333,,19.84048125,,
2013-07-08,838.60416667,,,,22.57363404,12.82608696,,12.82608696,,19.49596708,,
2013-07-09,925.52916667,,,,23.41084533,15.0,,15.0,,19.30232625,,
2013-07-10,1084.05,,,,15.3635645,19.47826087,,19.47826087,,20.04687458,,
2013-07-11,976.66666667,,,,16.86652221,20.04166667,,20.04166667,,20.070035,,
2013-07-12,992.00833333,,,,19.46593213,21.75,,21.75,,19.76809042,,
2013-07-13,1084.05,,,,18.83141154,23.83333333,,23.83333333,,19.89423042,,
2013-07-14,768.36086957,134.1947,,,23.77060582,20.7826087,,20.7826087,,20.23845375,,
2013-07-15,874.39583333,305.9572,,,16.36711258,20.95833333,,20.95833333,,19.34336833,,
2013-07-16,649.42083333,,,,20.62611117,16.58333333,,16.58333333,,20.59943875,,
2013-07-17,680.1,,,,20.76622771,15.45833333,,15.45833333,,21.10131333,,
2013-07-18,823.26666667,,,,19.41031242,18.5,,18.5,,20.49030667,,
2013-07-19,725.66521739,320.2705,,,17.84130754,22.39130435,,22.39130435,,19.40862833,,
2013-07-20,496.00416667,,,,20.31400979,19.625,,19.625,,19.92661,,
2013-07-21,439.75416667,,,,20.30652204,16.08333333,,16.08333333,,20.82325708,,
2013-07-22,695.42916667,,,,15.25638817,19.0,,19.0,,19.65681042,,
2013-07-23,506.22916667,,,,24.96601796,17.20833333,,17.20833333,,20.40109917,,
2013-07-24,572.70416667,,,,25.52307938,17.5,,17.5,,20.85388333,,
2013-07-25,490.89166667,,,,28.13741438,15.625,,15.625,,21.14962375,,
2013-07-26,864.18333333,,,,15.60803779,20.125,,20.125,,20.00682292,,
