Fecha,CO,DViento,HAire2,O3,PLiquida,PM10,PM2.5,RGlobal,TAire2,VViento
2009-03-31,,,,,,64.125,,,,
2009-04-01,0.89770135,,,10.6108294,,44.54166667,20.04166667,,,
2009-04-02,0.64424015,,,13.57752015,,38.33333333,24.04166667,,,
2009-04-03,0.98563261,,,13.72843076,,66.58333333,38.54166667,,,
2009-04-04,0.83159618,,,9.107907,,41.33333333,24.91666667,,,
2009-04-05,1.18002558,,,13.19768169,,47.25,22.66666667,,,
2009-04-06,0.6150518,,,17.870136,,62.75,28.81818182,,,
2009-04-07,1.04114704,,,12.61885542,,79.29166667,31.79166667,,,
2009-04-08,1.17279989,,,20.95593122,,60.0,24.91666667,,,
2009-04-09,0.74271932,,,25.65241478,,47.29166667,29.0,,,
2009-04-10,0.90513269,,,16.0669254,,27.58333333,27.54166667,,,
2009-04-11,0.8706392,,,17.94379249,,36.375,43.50000042,,,
2009-04-12,0.61199784,,,19.95090185,,40.16666667,33.91666667,,,
2009-04-13,,,,,,44.95833333,,,,
2009-04-14,,,,,,50.83333333,,,,
2009-04-15,,,,,,61.0,,,,
2009-04-16,,,,,,60.78260913,,,,
2009-04-17,,,,,,54.45833333,,,,
2009-04-18,,,,,,38.0,,,,
2009-04-19,,,,,,41.0,,,,
2009-04-20,,,,,,45.41666667,,,,
2009-04-21,,,,,,47.29166667,,,,
2009-04-22,,,,,,43.70833333,,,,
2009-04-23,,,,,,50.0,,,,
2009-04-24,,,,,,50.5,,,,
2009-04-25,,,,,,57.54166667,,,,
2009-04-26,,,,,,45.95833333,,,,
2009-04-27,,,,,,50.45833333,,,,
2009-04-28,,,,,,68.625,,,,
2009-04-29,,,,,,59.82608696,,,,
2009-04-30,,,,,,42.91304348,,,,
2009-05-01,0.98547979,,,11.13251113,,36.95833333,28.20833333,,,
2009-05-02,0.6335201,,,16.8259,,34.91666667,24.16666667,,,
2009-05-03,0.76760752,,,10.26462422,,12.04166667,28.625,,,
2009-05-04,0.79719219,,,,,29.66666667,32.41666667,,,
2009-05-05,1.31937774,,,15.58746083,,45.375,28.04347826,,,
2009-05-06,0.56416618,,,7.94309443,,47.79166667,21.41666667,,,
2009-05-07,0.97059603,,,15.67315499,,59.47826087,22.08333333,,,
2009-05-08,1.23765479,,,23.32076683,,45.86956522,30.54166667,,,
2009-05-09,1.04412531,,,21.39413066,,37.41666667,18.0,,,
2009-05-10,,,,17.46520525,,28.375,32.54166667,,,
2009-05-11,0.58331568,,,6.51459037,,34.68181818,22.54166667,,,
2009-05-12,0.48041854,,,24.02950826,,44.54166667,26.29166667,,,
2009-05-13,,,,,,48.33333333,,,,
2009-05-14,,,,,,47.0,,,,
2009-05-15,,,,,,53.04166667,,,,
2009-05-16,,,,,,49.41666667,,,,
2009-05-17,,,,,,34.29166667,,,,
2009-05-18,,,,,,45.73913043,,,,
2009-05-19,,,,,,61.58333333,,,,
2009-05-20,,,,,,53.45833333,,,,
2009-05-21,,,,,,52.625,,,,
2009-05-22,,,,,,57.5,,,,
2009-05-23,,,,,,48.83333333,,,,
2009-05-24,,,,,,28.08333333,,,,
2009-05-25,,,,,,24.625,,,,
2009-05-26,,,,,,37.3125,,,,
2009-05-27,,,,,,50.70833333,,,,
2009-05-28,,,,,,44.75,,,,
2009-05-29,,,,,,44.125,,,,
2009-05-30,,,,,,54.91666667,,,,
2009-05-31,,,,,,30.91666667,,,,
2009-06-01,1.00473904,,,6.68089958,,48.16666667,27.375,,,
2009-06-02,0.77698578,,,12.6717421,,53.04166667,28.625,,,
2009-06-03,0.83165412,,,16.35108656,,60.08333333,33.91666667,,,
2009-06-04,0.88016432,,,42.7885175,,50.95238095,42.0,,,
