Fecha,DViento,HAire10,HAire2,P,PLiquida,PM10,PST,RGlobal,TAire10,TAire2,TMPR_AIR_10CM,VViento
2008-10-24,,,,,,29.2411227,70.01581045,,,,,
2008-10-25,,,,,,38.019945,,,,,,
2008-10-26,,,,,,25.52503213,,,,,,
2008-10-27,,,,,,32.56613958,73.69267671,,,,,
2008-10-28,,,,,,24.41595592,,,,,,
2008-10-29,,,,,,30.40903675,,,,,,
2008-10-30,,,,,,34.01099088,87.03898261,,,,,
2008-10-31,,,,,,46.90272908,,,,,,
2008-11-01,,,,,,36.56713122,,,,,,
2008-11-02,,,,,,30.39841991,57.4551818,,,,,
2008-11-03,,,,,,21.09890229,,,,,,
2008-11-04,,,,,,34.24501583,,,,,,
2008-11-05,,,,,,32.128614,74.4663715,,,,,
2008-11-06,,,,,,31.74196346,,,,,,
2008-11-07,,,,,,41.16402317,,,,,,
2008-11-08,,,,,,32.74928979,83.00443602,,,,,
2008-11-09,,,,,,31.76231325,,,,,,
2008-11-10,,,,,,34.07204033,,,,,,
2008-11-11,,,,,,40.77737279,,,,,,
2008-11-12,,,,,,45.11192783,,,,,,
2008-11-13,,,,,,67.38502533,,,,,,
2008-11-14,,,,,,55.93813871,,,,,,
2008-11-15,,,,,,31.81318825,,,,,,
2008-11-16,,,,,,36.73789354,,,,,,
2008-11-17,,,,,,33.13594,77.9277901,,,,,
2008-11-18,,,,,,35.05901675,,,,,,
2008-11-19,,,,,,30.41921171,,,,,,
2008-11-20,,,,,,15.757021,74.316025,,,,,
2008-11-21,,,,,,23.02752902,,,,,,
2008-11-22,,,,,,26.34920768,,,,,,
2008-11-23,,,,,,27.5954254,67.59334842,,,,,
2008-11-24,,,,,,52.42036032,,,,,,
2008-11-25,,,,,,55.60606245,,,,,,
2008-11-26,,,,,,54.22873592,93.86571991,,,,,
2008-11-27,,,,,,43.68079048,,,,,,
2008-11-28,,,,,,32.22019021,,,,,,
2008-11-29,,,,,,31.48758829,84.8027143,,,,,
2008-11-30,,,,,,28.18070975,,,,,,
2008-12-01,,,,,,31.22303792,,,,,,
2008-12-02,,,,,,43.66707642,,,,,,
2008-12-03,,,,,,41.03705704,,,,,,
2008-12-04,,,,,,60.59829458,,,,,,
2008-12-05,,,,,,41.77452354,,,,,,
2008-12-06,,,,,,38.88172539,,,,,,
2008-12-07,,,,,,41.61172421,,,,,,
2008-12-08,,,,,,25.72853217,63.51521661,,,,,
2008-12-09,,,,,,35.51689279,,,,,,
2008-12-10,,,,,,39.10867138,,,,,,
