Fecha,NO,NO2,PM10
2019-10-13,10.95536734,35.16059644,33.125
2019-10-14,2.70235688,19.56117213,20.04166667
2019-10-15,11.35853522,23.98975059,32.58333333
2019-10-16,30.38483129,35.7582885,41.75
2019-10-17,31.37987321,34.42553957,41.04166667
2019-10-18,29.87371647,35.89953504,38.04166667
2019-10-19,35.08637218,35.02982094,44.0
2019-10-20,14.80862837,21.27614969,28.5
2019-10-21,49.89303528,32.69928999,41.58333333
2019-10-22,29.04351115,30.01837939,39.70833333
2019-10-23,33.22875964,34.65920078,34.41666667
2019-10-24,29.6315886,34.97660535,37.7826087
2019-10-25,38.78804379,35.50160309,54.20833333
2019-10-26,19.38449379,28.7278851,30.75
2019-10-27,8.75663528,20.20595465,24.6875
2019-10-28,17.80590873,26.66343237,
2019-10-29,14.01665883,22.8790999,20.2
2019-10-30,14.26753742,28.59849641,34.56521739
2019-10-31,15.58028968,30.86679435,36.5
2019-11-01,30.9686682,41.02099358,45.43478261
2019-11-02,34.11074457,29.694892,41.29166667
2019-11-03,26.58700333,24.45852849,35.0
2019-11-04,12.05890335,18.63505814,27.66666667
2019-11-05,13.46193879,31.98117931,36.08333333
2019-11-06,17.20466122,24.42090439,39.34782609
2019-11-07,23.03996344,28.27037065,39.68181818
2019-11-08,30.17266155,31.88291943,44.58333333
2019-11-09,57.52095745,45.85151506,57.95833333
2019-11-10,29.86687264,30.61477082,44.43478261
2019-11-11,9.07593019,19.29837691,23.375
2019-11-12,47.4498733,29.6864536,31.79166667
2019-11-13,80.50224985,32.34671763,53.375
2019-11-14,75.46580071,39.17044701,54.45833333
2019-11-15,63.76676783,28.90628228,48.0
2019-11-16,40.96901084,31.57138839,39.23809524
2019-11-17,12.44169851,15.23237225,27.75
2019-11-18,15.56658393,23.70568596,30.20833333
2019-11-19,56.1324836,33.69534705,37.91304348
2019-11-20,31.22226034,23.05502085,31.41666667
2019-11-21,18.22906637,19.62797568,31.69565217
2019-11-22,53.51343604,33.18063767,47.91304348
2019-11-23,53.86336193,34.5169359,49.41666667
2019-11-24,24.46712447,18.61472607,32.79166667
2019-11-25,21.37039154,21.99581845,39.66666667
2019-11-26,17.4384715,22.94801702,38.08333333
2019-11-27,24.48493377,24.11369048,39.91666667
2019-11-28,18.78305983,26.48094562,41.52380952
2019-11-29,50.59533779,27.92486665,52.91304348
2019-11-30,37.64973067,19.1544463,37.16666667
2019-12-01,17.18894203,16.37813675,36.30434783
2019-12-02,13.3681653,21.11363424,33.95833333
2019-12-03,19.82780479,25.75231352,43.75
2019-12-04,42.27213535,28.75844195,50.5
2019-12-05,32.88527576,19.96622438,40.08333333
2019-12-06,17.16995225,19.4613233,37.83333333
2019-12-07,42.3782246,27.16457295,45.875
2019-12-08,38.79330226,21.50571001,41.16666667
2019-12-09,24.74235351,19.96092786,34.91666667
2019-12-10,20.06106316,28.12375259,44.375
2019-12-11,18.33992351,24.95373757,38.5
2019-12-12,26.87479207,22.31861717,38.58333333
2019-12-13,16.70975692,27.55950853,45.08333333
2019-12-14,11.06843552,23.64687577,30.04166667
2019-12-15,20.42070878,18.8845666,27.91666667
2019-12-16,16.0217201,17.1160926,33.70833333
2019-12-17,27.75710234,27.71033403,42.70833333
2019-12-18,22.40770013,22.89223901,40.20833333
2019-12-19,10.90749772,14.69825412,32.63636364
2019-12-20,11.99326702,15.97599288,35.0
2019-12-21,19.81212307,16.20197518,36.83333333
2019-12-22,11.53850901,17.47766637,31.25
2019-12-23,11.62161737,13.83014174,32.54166667
2019-12-24,10.33951141,17.85398577,32.66666667
2019-12-25,4.64978644,9.49073657,30.91666667
2019-12-26,13.55343403,16.16538768,28.29166667
2019-12-27,12.09718196,16.82213056,42.52173913
2019-12-28,18.10808579,12.54520253,30.41666667
2019-12-29,29.36340907,15.78873421,37.58333333
2019-12-30,52.25727013,22.66638284,45.68421053
2019-12-31,33.0522539,21.22711769,34.73913043
2020-01-01,27.0987562,8.64188569,58.29166667
2020-01-02,7.68442487,8.3571189,23.41666667
2020-01-03,15.41696227,10.5277784,33.73913043
2020-01-04,15.98831936,11.40843272,32.875
2020-01-05,11.9616581,10.64437488,34.91666667
2020-01-06,10.35052098,9.18358506,29.375
2020-01-07,15.77393833,13.99929351,38.65217391
2020-01-08,18.02703687,12.5427535,33.29166667
2020-01-09,18.07009603,17.04768442,42.70833333
2020-01-10,17.28344848,15.8539882,33.33333333
2020-01-11,15.05110427,19.54313803,34.0
2020-01-12,13.77561751,24.7043623,34.26086957
2020-01-13,19.93694998,28.99538293,37.79166667
2020-01-14,10.93501653,25.28401015,39.41666667
2020-01-15,21.03697694,30.6036685,48.04347826
2020-01-16,7.36597546,17.63237471,33.375
2020-01-17,27.63345931,22.522172,35.04166667
2020-01-18,24.80832201,20.16964684,28.04166667
2020-01-19,14.30525634,15.37393667,22.33333333
2020-01-20,47.9507464,36.36850887,49.25
2020-01-21,46.93151285,30.11571472,39.66666667
2020-01-22,57.75974002,27.10682833,37.41666667
2020-01-23,47.9221391,32.48051747,42.95833333
2020-01-24,36.19050646,17.49687494,29.79166667
2020-01-25,20.79550325,14.74244948,24.41666667
2020-01-26,16.99363764,14.86933332,21.75
2020-01-27,51.91827482,27.06793494,41.08333333
2020-01-28,37.48773505,23.11500631,32.95833333
2020-01-29,52.97338848,32.6008069,41.08333333
2020-01-30,36.40404563,24.2410107,48.0
2020-01-31,36.31949806,29.32906707,43.625
2020-02-01,17.46514201,31.86486738,47.08333333
2020-02-02,11.24852662,27.04105275,27.875
2020-02-03,23.97336998,26.3440039,34.58333333
2020-02-04,18.0699706,27.18852269,44.75
2020-02-05,20.28404152,35.72750942,49.95833333
2020-02-06,21.89218721,43.57784258,54.0
2020-02-07,,,66.20833333
2020-02-08,,,64.83333333
2020-02-09,,,52.20833333
2020-02-10,,,60.20833333
2020-02-11,,,54.20833333
2020-02-12,,,55.625
2020-02-13,2.54822698,18.82471434,63.66666667
2020-02-14,10.34086563,23.92853945,74.79166667
2020-02-15,12.85133792,27.06469122,43.875
2020-02-16,14.04762416,24.33152951,35.41666667
2020-02-17,4.74719752,19.7411849,33.5
2020-02-18,10.15413629,25.85938003,37.75
2020-02-19,19.42516134,41.88466346,54.04166667
2020-02-20,13.63203931,36.64032077,49.875
2020-02-21,45.35731396,38.81709225,56.41666667
2020-02-22,31.02707861,36.74929428,42.54166667
2020-02-23,19.11450279,19.43652523,42.0
2020-02-24,13.97764701,26.72303425,50.29166667
2020-02-25,18.79626424,38.93229719,54.45833333
2020-02-26,28.17563224,32.32900605,53.95833333
2020-02-27,27.95462458,35.62315669,62.68181818
2020-02-28,27.77133854,34.60775244,61.63636364
2020-02-29,9.7447255,26.82521405,66.91666667
2020-03-01,3.38586702,22.5263246,54.20833333
2020-03-02,7.90725184,29.3735906,59.91666667
2020-03-03,11.9560438,28.29545077,60.0
2020-03-04,11.95377995,32.46349965,64.41666667
2020-03-05,20.3170538,35.55775378,63.54166667
2020-03-06,2.97160281,29.26567162,83.125
2020-03-07,15.53515575,40.30129349,90.0
2020-03-08,5.06595586,33.18992226,75.45833333
2020-03-09,5.70439238,35.54329361,72.33333333
2020-03-10,19.86123108,46.46389008,66.0
2020-03-11,27.80149972,56.07916451,73.25
2020-03-12,21.22470586,32.70155948,67.25
2020-03-13,12.74492162,27.13368702,60.375
2020-03-14,10.36858886,26.07790855,69.41666667
2020-03-15,8.6284952,21.05094568,65.08333333
2020-03-16,12.14112252,24.14207701,67.75
2020-03-17,19.60808353,37.87672466,85.41666667
2020-03-18,23.32323531,45.72237485,92.75
2020-03-19,2.81344244,23.4262357,91.75
2020-03-20,10.52593844,28.72979645,80.16666667
2020-03-21,16.45188747,15.22936358,45.125
2020-03-22,11.78873787,9.92760617,51.375
2020-03-23,9.15640165,8.81148406,65.08333333
2020-03-24,10.83080786,20.67233843,69.41666667
2020-03-25,9.97182222,12.10826302,67.20833333
2020-03-26,7.78105878,8.57991012,72.75
2020-03-27,7.07260233,8.87529931,65.05
2020-03-28,6.18640811,7.91150708,61.70833333
2020-03-29,6.18658403,9.63587664,64.52173913
2020-03-30,7.13420564,12.40990618,68.5
2020-03-31,6.44559647,9.57099425,32.20833333
2020-04-01,7.60139183,12.65170491,16.75
2020-04-02,7.84828952,9.13640527,19.28571429
2020-04-03,5.25508053,7.29889131,28.16666667
2020-04-04,4.76514835,6.44733673,27.08333333
2020-04-05,5.46927276,6.55999852,21.875
2020-04-06,7.3936673,13.97853164,19.0
2020-04-07,,,
2020-04-08,,,20.125
2020-04-09,,,18.04166667
2020-04-10,,,
2020-04-11,,,14.33333333
2020-04-12,,,19.54166667
2020-04-13,,,24.0
2020-04-14,,,
2020-04-15,,,
2020-04-16,,,45.08333333
2020-04-17,,,
2020-04-18,,,45.70833333
2020-04-19,,,28.79166667
2020-04-20,,,33.5
2020-04-21,6.86057539,18.04904036,23.29166667
2020-04-22,24.4406256,23.72472846,26.08695652
2020-04-23,16.0086378,23.38527776,20.20833333
2020-04-24,15.89362601,28.01113883,24.16666667
2020-04-25,14.18788361,24.48035705,33.125
2020-04-26,5.82373256,16.28638,27.16666667
2020-04-27,12.618054,27.7268504,32.79166667
2020-04-28,10.44968377,25.26276138,27.375
2020-04-29,9.75101247,24.03233873,32.41666667
2020-04-30,19.56915525,33.02522626,26.86956522
2020-05-01,10.63324985,21.90574624,25.95652174
2020-05-02,15.3223998,20.43969108,21.58333333
2020-05-03,8.20673422,19.68666051,17.33333333
2020-05-04,11.13175179,21.06704679,22.33333333
2020-05-05,17.92851794,23.98359425,20.66666667
2020-05-06,9.64871504,24.16286351,20.20833333
2020-05-07,11.48911823,23.05516189,19.79166667
2020-05-08,16.05753288,23.95661258,23.20833333
2020-05-09,11.87332382,19.46271794,20.125
2020-05-10,6.61610581,13.54957497,19.54166667
2020-05-11,14.46300533,28.80294527,26.29166667
2020-05-12,16.03048421,31.32800697,31.41666667
2020-05-13,11.79443144,24.24863425,25.83333333
2020-05-14,13.85345309,29.04659308,31.95833333
2020-05-15,11.76599278,25.20467202,33.375
2020-05-16,10.57533003,21.76470677,24.08333333
2020-05-17,7.09542889,10.6950007,21.70833333
2020-05-18,9.51031865,23.05752025,21.875
2020-05-19,33.01678351,33.4268554,33.82608696
2020-05-20,26.74935157,17.48842395,32.91666667
2020-05-21,12.32361034,16.06315826,28.20833333
2020-05-22,28.50327362,32.83237573,39.54166667
2020-05-23,21.06438844,25.56575217,38.75
2020-05-24,4.77541134,11.81688383,22.33333333
2020-05-25,4.95024397,11.30427302,21.66666667
2020-05-26,10.62237008,14.04317785,24.79166667
2020-05-27,41.12818189,27.15174335,35.27272727
2020-05-28,32.01013144,22.5386257,27.58333333
2020-05-29,36.96229176,35.18015283,38.66666667
2020-05-30,32.62800933,33.18429666,27.375
2020-05-31,26.07002265,14.6630824,22.29166667
2020-06-01,36.16992826,13.71078766,27.41666667
2020-06-02,25.70717902,9.41062091,28.33333333
2020-06-03,76.64177361,49.66081081,47.35714286
2020-06-04,33.2722069,23.02365528,30.61111111
2020-06-05,21.43130087,19.06412337,30.41666667
2020-06-06,32.307907,29.17640487,34.33333333
2020-06-07,23.58576517,14.67680641,25.43478261
2020-06-08,18.79700158,12.19817852,29.20833333
2020-06-09,30.05917773,26.70651788,40.125
2020-06-10,38.07422974,25.07837662,41.2
2020-06-11,36.20423808,7.28236582,30.6
2020-06-12,32.64654429,3.83530825,18.5
2020-06-13,,,29.125
2020-06-14,,,21.25
2020-06-15,,,28.36363636
2020-06-16,12.49991546,12.57342676,36.56521739
2020-06-17,34.95023964,21.74978876,33.83333333
2020-06-18,55.43198552,12.0218263,37.33333333
2020-06-19,53.0171397,15.93465651,43.625
2020-06-20,40.25276532,10.7407968,28.375
2020-06-21,21.08241587,7.29423524,19.0
2020-06-22,22.00878718,6.00807293,20.91666667
2020-06-23,38.12541013,7.54193297,42.875
2020-06-24,34.08528287,13.36641406,76.89473684
2020-06-25,33.28792943,13.8384626,
2020-06-26,31.65603046,13.67052527,39.83333333
2020-06-27,36.08228245,15.47995328,32.20833333
2020-06-28,21.88269121,10.34995114,17.625
2020-06-29,27.24812946,9.52646743,23.95833333
2020-06-30,25.86674624,14.23536479,26.75
2020-07-01,32.9080778,17.23280411,28.29166667
2020-07-02,28.39904144,15.65029913,18.0
2020-07-03,25.60795695,11.55904667,28.5
2020-07-04,38.16908252,17.83916962,30.95833333
2020-07-05,28.40281589,13.55446407,24.875
2020-07-06,52.80872952,14.84074308,38.625
