Fecha,CO,DViento,HAire10,NO,NO2,O3,P,PLiquida,PM2.5,SO2,VViento
2020-04-18,613.53236828,137.41666667,81.90460417,3.0421169,18.00997459,36.45943994,20.52943056,0.06083333,38.0,10.70361585,1.5575
2020-04-19,512.99574965,128.625,88.55090278,1.22924326,11.08411794,34.16233173,19.25754167,0.14375,23.16666667,6.57928681,1.14541667
2020-04-20,495.63671856,112.20833333,76.98755556,6.77627136,13.0754575,33.05873882,21.73388889,0.02833333,19.45833333,9.83074197,1.87833333
2020-04-21,466.19760774,145.33333333,82.22205556,4.8041756,14.95884476,33.40207884,20.23581944,0.14375,19.75,12.29661066,1.38166667
2020-04-22,481.63365138,158.125,78.01786111,4.21741961,12.8247463,35.04520606,21.06069444,0.10083333,15.04166667,14.42424072,1.49
2020-04-23,432.7728281,142.29166667,82.82489583,3.19496444,17.03708283,28.90880296,21.13073611,0.18,13.0,23.51303991,1.44041667
2020-04-24,483.9668803,151.29166667,82.16084018,3.35558122,18.04042461,31.14584444,20.94298611,0.32083333,17.125,11.67468803,1.77125
2020-04-25,447.70118842,138.08333333,75.43402778,6.80516544,16.45561273,38.62575196,21.34304861,0.0,20.20833333,14.63154827,1.57958333
2020-04-26,381.48270853,91.16666667,70.89610417,1.92161359,10.34282747,48.36189388,23.16,0.01,18.25,12.3620762,1.7575
2020-04-27,490.2676256,126.375,76.10992361,10.55160637,23.97200921,33.61462266,22.75052778,0.10833333,22.54166667,33.47471296,1.52208333
2020-04-28,388.28169871,107.04166667,76.05928525,6.37128289,22.61660276,34.4075746,22.64704088,0.21083333,18.04166667,28.66299575,1.965
2020-04-29,451.4974285,114.125,80.59730556,5.56825352,17.57328259,34.82448748,22.42102778,0.14041667,24.25,8.42323286,1.87708333
2020-04-30,439.3272115,88.95833333,84.58048611,6.39319574,18.92437669,34.06423458,21.24608333,0.0475,17.125,13.43134669,1.62
2020-05-01,431.70491688,120.83333333,81.94170139,4.27916814,17.8138231,34.06423458,21.8760625,0.07375,15.875,15.55897675,1.44833333
2020-05-02,413.02771103,73.375,77.48579861,9.6775026,17.31915465,23.78855835,22.81369444,0.03458333,12.91666667,29.51404777,1.79916667
2020-05-03,388.70892808,101.91666667,79.98714583,5.17237728,16.61546948,27.205609,22.56879167,0.00875,13.29166667,24.27680454,1.53041667
2020-05-04,420.05147674,73.75,76.2378125,5.6133291,15.39364772,24.58151029,23.52120833,0.07541667,11.75,18.92549257,1.92666667
2020-05-05,,,,,,,,,,,
2020-05-06,,77.41666667,77.09563195,4.77825869,17.11328265,31.87339828,23.17843801,0.0425,12.625,,2.05208333
2020-05-07,,81.625,78.24147222,10.5066313,19.97009904,27.94951237,23.29463889,0.01666667,14.60869565,11.92479996,2.34041667
2020-05-08,349.43440467,105.375,74.98895139,12.60673183,20.79555754,18.33599188,23.59752083,0.0,15.16666667,27.92105296,2.03166667
2020-05-09,207.42631425,140.66666667,67.02846528,8.68220661,19.31882378,19.42323527,24.78236806,0.0,14.83333333,47.00425797,1.48041667
2020-05-10,235.59585965,112.25,70.0080625,5.89166825,13.98977387,19.19434193,23.95790278,0.0,10.5,29.77590993,1.71916667
2020-05-11,369.97223018,110.66666667,81.30506944,17.90243115,23.7554406,10.87476953,21.9283125,0.02916667,15.25,32.02356015,1.87458333
2020-05-12,424.21259676,105.91666667,75.12060417,8.38408009,24.47938707,37.60390667,22.45095833,0.0,18.45833333,30.63787288,1.70708333
2020-05-13,360.72793325,95.375,76.28338889,7.603717,17.20960441,41.29072447,21.86570833,0.01208333,17.59090909,15.28620367,2.46083333
2020-05-14,371.17026768,89.04166667,75.33378472,10.98296111,18.00724015,38.31511099,22.87509028,0.0,14.20833333,31.09613166,2.24875
2020-05-15,352.52480516,69.79166667,77.02873611,14.59821802,22.1023365,34.75091462,23.07608333,0.00166667,16.79166667,30.48511995,2.08083333
2020-05-16,361.8741444,104.33333333,72.88428296,,,33.10778739,23.95489666,0.10458333,12.33333333,19.85788057,2.03083333
2020-05-17,307.671399,95.04166667,81.63911111,,,24.34444219,22.74820139,0.05708333,11.33333333,18.40672776,1.9075
2020-05-18,304.48983364,104.625,68.97259722,10.05688474,17.96655252,33.58192361,23.53465972,0.05833333,7.91666667,33.38742557,1.93583333
2020-05-19,398.25204786,142.41666667,92.92859028,22.48584641,23.74591916,9.27835523,19.48145139,0.3025,16.75,16.07179015,1.2325
