Fecha,CO,DViento,HAire10,NO,NO2,O3,P,PLiquida,PM10,PM2.5,SO2,TMPR_AIR_10CM,VViento
2021-05-09,287.64256604,121.56927918,85.07471528,3.73003296,12.28876069,23.43704357,21.04566667,0.00916667,22.22727273,10.41666667,22.23071928,21.04566667,1.37818842
2021-05-10,389.06631382,135.5377546,81.00742754,9.95364206,16.61495012,15.24344375,21.47718841,0.07130435,39.1,9.86956522,22.21274247,21.47718841,0.98687047
2021-05-11,316.36138539,83.83406501,80.35978472,8.35010291,11.27253307,14.62464979,22.15859722,0.00625,36.0,9.64583333,22.32970067,22.15859722,1.47564871
2021-05-12,330.59038089,72.20525503,79.21536111,10.11027761,13.02629704,21.44760368,22.80059722,0.06541667,32.0,9.16666667,29.38548863,22.80059722,1.56518937
2021-05-13,225.22352647,104.55298797,80.58911111,7.76990305,13.75310399,22.43972257,22.58872222,0.06375,39.04761905,11.41666667,24.66959779,22.58872222,1.69191161
2021-05-14,232.88315508,82.66576812,83.85896528,3.19839464,14.0723526,22.28084784,22.48594444,0.0825,28.31818182,11.95833333,20.11974273,22.48594444,1.39474488
2021-05-15,340.29267779,116.28860511,84.78269565,7.88384701,14.05748541,23.55184566,22.13567391,0.04,52.66666667,17.60869565,23.00971427,22.13567391,1.63721567
2021-05-16,236.75953015,115.27069618,83.73206944,5.97495507,14.47932942,23.17545117,20.95586111,0.27666667,20.28571429,9.0,26.99457324,20.95586111,1.20604428
2021-05-17,284.54515733,149.34800464,88.69972917,4.88762269,16.66562189,23.24084927,20.30253472,0.38541667,18.80952381,8.79166667,18.11213283,20.30253472,1.10242229
2021-05-18,403.53777963,203.90426508,90.26963889,11.38089567,22.62804687,21.59772205,19.11629861,0.25916667,36.95238095,13.70833333,13.79537477,19.11629861,0.91799851
2021-05-19,262.08818246,69.2182472,83.63577083,12.48508627,13.85213518,18.10709854,21.56527778,0.00166667,38.90909091,13.0,28.38358123,21.56527778,1.82150285
2021-05-20,236.79770802,105.12342987,80.91245652,9.15318529,13.7210616,18.77494108,22.56439855,0.0,40.38095238,11.13043478,22.8389346,22.56439855,1.67532842
2021-05-21,308.34305928,98.79176584,86.927625,15.77883397,19.18403944,14.82901885,21.6065625,0.00083333,58.29166667,18.375,31.57621229,21.6065625,1.15513136
2021-05-22,206.394585,88.32842682,85.47540278,5.78806308,14.05172968,23.67411168,21.65906945,0.3925,31.73684211,10.45833333,17.66478497,21.65906945,1.2942372
2021-05-23,175.08176261,103.16184258,85.7680625,4.10667416,10.42634042,23.51879119,21.78024306,0.08125,23.38095238,10.54166667,17.08338862,21.78024306,1.65769123
2021-05-24,191.4972699,99.54641153,85.37373611,7.79902649,13.80053293,21.99011064,21.30706944,0.04375,29.28571429,10.27083333,21.84366863,21.30706944,1.42266226
2021-05-25,230.80166171,114.15294875,82.72347101,7.52274896,12.93219197,23.62008716,21.65252899,0.12782609,36.5,11.69565217,23.02006455,21.65252899,1.7019796
2021-05-26,180.27230026,115.96045941,81.04940972,8.68959066,18.07615802,27.0748128,21.56676389,0.08875,28.23809524,9.70833333,22.69472065,21.56676389,1.77025387
