Fecha,PM10
2019-10-10,47.0
2019-10-11,
2019-10-12,
2019-10-13,13.9
2019-10-14,
2019-10-15,
2019-10-16,27.7
2019-10-17,
2019-10-18,
2019-10-19,21.3
2019-10-20,
2019-10-21,
2019-10-22,31.8
2019-10-23,
2019-10-24,25.3
2019-10-25,
2019-10-26,
2019-10-27,
2019-10-28,9.4
2019-10-29,
2019-10-30,
2019-10-31,29.5
2019-11-01,
2019-11-02,
2019-11-03,15.1
2019-11-04,
2019-11-05,
2019-11-06,37.9
2019-11-07,
2019-11-08,
2019-11-09,22.0
2019-11-10,
2019-11-11,
2019-11-12,
2019-11-13,8.0
2019-11-14,
2019-11-15,
2019-11-16,29.1
2019-11-17,
2019-11-18,
2019-11-19,21.4
2019-11-20,
2019-11-21,
2019-11-22,
2019-11-23,31.0
2019-11-24,
2019-11-25,
2019-11-26,39.3
2019-11-27,
2019-11-28,
2019-11-29,
2019-11-30,
2019-12-01,37.8
2019-12-02,
2019-12-03,
2019-12-04,40.7
2019-12-05,
2019-12-06,
2019-12-07,25.6
2019-12-08,
2019-12-09,
2019-12-10,28.4
2019-12-11,
2019-12-12,22.7
2019-12-13,
2019-12-14,
2019-12-15,21.0
2019-12-16,
2019-12-17,
2019-12-18,36.8
2019-12-19,
2019-12-20,
2019-12-21,36.6
2019-12-22,
2019-12-23,
2019-12-24,39.0
2019-12-25,
2019-12-26,
2019-12-27,61.79223779
2019-12-28,
2019-12-29,
2019-12-30,
2019-12-31,16.97908962
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,29.0
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,28.0
2020-01-09,
2020-01-10,
2020-01-11,56.6
2020-01-12,
2020-01-13,
2020-01-14,35.3
2020-01-15,
2020-01-16,33.5
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,13.6
2020-01-23,
2020-01-24,
2020-01-25,25.1
2020-01-26,
2020-01-27,
2020-01-28,33.8
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,44.3
2020-02-06,
2020-02-07,
2020-02-08,54.3
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,40.26616659
2020-06-18,
2020-06-19,
2020-06-20,18.93888962
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,30.95891354
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,32.01622277
2020-07-02,
2020-07-03,
2020-07-04,19.19864238
2020-07-05,
2020-07-06,
2020-07-07,33.07576271
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,25.52453838
2020-07-12,
2020-07-13,
2020-07-14,23.94382077
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,17.03619594
2020-07-20,
2020-07-21,
2020-07-22,24.2902913
2020-07-23,
2020-07-24,
2020-07-25,10.35771655
2020-07-26,
2020-07-27,
2020-07-28,22.9897127
2020-07-29,
2020-07-30,20.62075842
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,22.87813313
2020-10-06,
2020-10-07,
2020-10-08,23.42801256
2020-10-09,
2020-10-10,
2020-10-11,20.09268671
2020-10-12,
2020-10-13,
2020-10-14,30.81138784
2020-10-15,
2020-10-16,
2020-10-17,29.11271954
2020-10-18,
2020-10-19,
2020-10-20,28.35220501
2020-10-21,
2020-10-22,
2020-10-23,25.14976586
2020-10-24,
2020-10-25,
2020-10-26,
2020-10-27,24.68501077
2020-10-28,
2020-10-29,21.3132121
2020-10-30,
2020-10-31,
2020-11-01,9.63032196
2020-11-02,
2020-11-03,
2020-11-04,35.09480923
2020-11-05,
2020-11-06,
2020-11-07,27.16204331
2020-11-08,
2020-11-09,
2020-11-10,22.11873598
2020-11-11,
2020-11-12,31.73775489
2020-11-13,
2020-11-14,
2020-11-15,25.3352278
2020-11-16,
2020-11-17,
2020-11-18,26.49230855
2020-11-19,
2020-11-20,
2020-11-21,16.33467381
2020-11-22,
2020-11-23,
2020-11-24,27.13578592
2020-11-25,
2020-11-26,
2020-11-27,26.99777123
2020-11-28,
2020-11-29,
2020-11-30,
2020-12-01,31.90909551
2020-12-02,
2020-12-03,27.89471108
2020-12-04,
2020-12-05,
2020-12-06,
2020-12-07,33.32282641
2020-12-08,
2020-12-09,
2020-12-10,32.96911288
2020-12-11,
2020-12-12,
2020-12-13,30.98928893
2020-12-14,
2020-12-15,
2020-12-16,43.21985305
2020-12-17,
2020-12-18,
2020-12-19,29.96364656
2020-12-20,
2020-12-21,
2020-12-22,
2020-12-23,
