Fecha,CO,DViento,HAire10,HAire2,NO,NO2,NOx,P,PLiquida,PM10,PM2.5,RGlobal,SO2,TAire10,TAire2,VViento
2012-11-06,2083.33333333,,,60.47083333,37.79166667,19.375,57.125,,0.0,,,177.125,,,23.085,
2012-11-07,2095.83333333,,,66.95833333,33.875,15.41666667,49.33333333,,0.125,,,151.17083333,,,22.50791667,
2012-11-08,2287.5,,,62.975,45.25,15.04166667,60.29166667,,0.04166667,,,192.29583333,,,23.00333333,
2012-11-09,2250.0,,,62.0625,31.5,15.83333333,47.0,,0.04166667,,,146.87916667,,,23.52333333,
2012-11-10,2604.16666667,,,69.10833333,42.54166667,16.33333333,58.95833333,,0.0,,,161.1375,,,22.40458333,
2012-11-11,2062.5,,,70.03333333,13.0,8.45833333,21.41666667,,0.0625,,,93.07916667,,,21.9875,
2012-11-12,2158.33333333,,,69.74583333,14.5,8.45833333,22.83333333,,0.0,,,88.05416667,,,21.60458333,
2012-11-13,2960.86956522,,,74.62173913,48.39130435,19.39130435,67.56521739,,1.0625,,,105.34782609,,,21.03,
2012-11-14,3637.5,,,71.84166667,56.79166667,24.25,80.95833333,,0.72916667,,,138.8,,,21.60083333,
2012-11-15,3754.16666667,,,71.84583333,40.79166667,25.66666667,66.54166667,,0.11363636,,,110.25416667,,,21.31833333,
2012-11-16,3783.33333333,,,72.42916667,38.45833333,18.29166667,56.58333333,,0.0625,,,155.4875,,,21.19833333,
2012-11-17,3741.66666667,,,76.22916667,54.875,17.45833333,72.25,,0.75,,,120.3,,,20.5975,
2012-11-18,3870.83333333,,,82.45416667,44.54166667,16.5,61.04166667,,1.20833333,,,74.5625,,,19.285,
2012-11-19,3525.0,,,68.74166667,55.79166667,20.125,75.83333333,,0.0,,,154.6625,,,21.96833333,
2012-11-20,3086.95652174,,,68.6,31.65217391,11.47826087,42.82608696,,0.0,,,154.3173913,,,22.94130435,
2012-11-21,3525.0,,,73.46666667,44.17391304,20.95652174,64.95652174,,0.04166667,,,82.26666667,,,21.74416667,
2012-11-22,4116.66666667,,,76.13333333,61.125,26.66666667,87.75,,0.27083333,,,103.47916667,,,20.80916667,
2012-11-23,3895.83333333,,,71.67916667,43.91666667,18.79166667,62.79166667,,1.1875,,,127.1375,,,22.02583333,
2012-11-24,3804.16666667,,,66.2125,37.91666667,14.25,52.16666667,,0.04166667,,,178.42083333,,,23.19125,
2012-11-25,3120.83333333,,,62.25833333,14.95833333,6.33333333,21.16666667,,0.0,,,186.8375,,,23.77625,
2012-11-26,3670.83333333,,,62.82083333,33.08333333,15.16666667,48.29166667,,0.02083333,,,174.4875,,,23.46708333,
2012-11-27,3866.66666667,,,66.00833333,42.29166667,15.83333333,58.16666667,,0.04166667,,30.92307692,164.84583333,,,22.85333333,
2012-11-28,3837.5,,,64.25416667,40.20833333,15.04166667,54.95833333,,0.10416667,,35.79166667,149.83333333,,,22.98541667,
2012-11-29,3925.0,,,71.8,33.16666667,16.04166667,49.16666667,,1.375,,32.83333333,114.9,,,21.48125,
2012-11-30,4566.66666667,,,74.9875,61.0,27.91666667,88.95833333,,0.89583333,,47.13636364,88.35,,,20.63041667,
2012-12-01,4888.23529412,,,70.65882353,81.94117647,23.94117647,105.76470588,,1.22916667,,,133.60588235,,,21.28823529,
2012-12-02,,,,,,,,,2.04166667,,,,,,,
2012-12-03,4146.66666667,,,64.43333333,39.66666667,19.06666667,58.86666667,,0.16666667,,33.53333333,203.38,,,22.69466667,
2012-12-04,3841.66666667,,,64.55416667,39.04166667,11.79166667,50.54166667,,0.0,,34.0,160.6875,,,22.27958333,
2012-12-05,3725.0,,,64.82083333,34.29166667,13.0,46.83333333,,0.45833333,,33.625,153.84583333,,,21.99833333,
2012-12-06,3791.66666667,,,64.1125,31.25,12.33333333,43.29166667,,0.125,,35.54166667,163.75833333,,,22.2375,
2012-12-07,3987.5,,,64.34166667,35.66666667,13.58333333,49.08333333,,0.0,,37.875,171.0375,,,22.68791667,
2012-12-08,3658.33333333,,,62.18333333,22.33333333,9.41666667,31.70833333,,0.0,,35.16666667,166.5125,,,23.31125,
2012-12-09,3583.33333333,,,61.08333333,24.91666667,9.875,34.625,,0.0,,34.33333333,145.50416667,,,23.54,
2012-12-10,3712.5,,,57.51666667,25.625,10.33333333,35.70833333,,0.0,,34.08333333,167.775,,,24.21125,
2012-12-11,4408.33333333,,,66.98333333,51.0,19.625,70.66666667,,0.0,,48.54166667,102.61666667,,,22.25416667,
2012-12-12,4308.33333333,,,67.60416667,49.75,18.33333333,68.0,,0.10416667,,41.16666667,128.8375,,,21.84208333,
2012-12-13,4166.66666667,,,65.675,33.16666667,28.08333333,61.125,,0.04166667,,38.375,110.2125,,,22.06583333,
2012-12-14,4416.66666667,,,65.84166667,50.29166667,22.29166667,72.54166667,,0.04166667,,40.91666667,116.34583333,,,21.71708333,
2012-12-15,4425.0,,,66.30833333,44.33333333,20.75,65.125,,0.27083333,,42.20833333,134.30416667,,,21.88625,
2012-12-16,3900.0,,,79.775,33.25,7.75,41.0,,0.02083333,,26.25,0.0,,,19.0275,
2012-12-17,,,,,,,,,0.52083333,,,,,,,
2012-12-18,4750.0,,,54.54285714,40.72727273,27.54545455,68.54545455,,0.0625,,39.92857143,148.20714286,,,22.84428571,
2012-12-19,4345.83333333,,,64.73333333,34.33333333,20.95833333,55.41666667,,0.04166667,,41.08333333,131.925,,,22.24625,
2012-12-20,4333.33333333,,,64.8,35.5,18.875,54.375,,0.08333333,,41.04166667,145.3,,,22.90125,
2012-12-21,4425.0,,,65.75,36.79166667,18.16666667,55.125,,0.04166667,,37.125,139.3375,,,22.81666667,
2012-12-22,4537.5,,,66.16666667,34.33333333,17.91666667,52.125,,0.02083333,,36.375,153.9,,,22.90375,
2012-12-23,4183.33333333,,,65.02916667,20.91666667,15.45833333,36.33333333,,0.0,,28.91666667,126.0125,,,22.62625,
2012-12-24,4491.66666667,,,65.925,25.45833333,25.16666667,50.91666667,,0.0,,38.16666667,82.15833333,,,21.85166667,
2012-12-25,3941.66666667,,,66.30416667,8.04166667,12.58333333,20.5,,0.0,,31.29166667,117.26666667,,,22.5225,
2012-12-26,4600.0,,,67.04583333,34.79166667,15.66666667,50.33333333,,0.0,,33.0,116.85416667,,,22.52916667,
2012-12-27,4575.0,,,61.05833333,33.70833333,17.04166667,50.91666667,,0.0,,33.95833333,138.90833333,,,23.50666667,
2012-12-28,4625.0,,,56.81666667,35.25,19.375,54.58333333,,0.0,,32.375,154.03333333,,,23.63625,
2012-12-29,4741.66666667,,,60.725,32.66666667,20.5,53.125,,0.0,,36.66666667,147.65833333,,,23.63416667,
2012-12-30,4325.0,,,60.5625,17.70833333,16.79166667,34.66666667,,0.0,,30.66666667,102.925,,,22.55875,
2012-12-31,4450.0,,,57.02083333,20.91666667,16.125,36.91666667,,0.0,,31.70833333,162.47083333,,,23.34833333,
2013-01-01,4041.66666667,,,57.04166667,4.5,11.54166667,15.79166667,,0.04166667,,31.66666667,188.28333333,,,23.34375,
2013-01-02,4416.66666667,,,54.14166667,21.08695652,16.65217391,37.73913043,,0.0,,28.375,176.1625,,,23.97333333,
2013-01-03,4620.83333333,,,59.3125,29.58333333,17.54166667,47.04166667,,0.0,,34.70833333,142.2,,,23.70083333,
2013-01-04,4650.0,,,58.825,24.0,16.54166667,40.41666667,,0.0,,35.91666667,154.59166667,,,23.83416667,
